YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W
0.5162547	0.6427094	1.0512826	0.4750650	0.4355001	0.6369242	0.6550745	0.1176986	0.9826487	0.0242917
1.0764616	0.4227409	0.9441816	0.3748167	0.3026538	0.6839852	0.6732744	0.1060760	0.9457795	0.0207487
0.9906935	0.6736900	0.4338449	0.5152343	0.3953758	0.6994572	0.6847446	0.0626483	1.1160715	0.1731277
1.0546754	0.9419609	0.9762011	0.1649110	0.3297994	0.5887459	0.6218279	0.1394555	1.0736297	0.0217636
1.0884803	0.7642479	0.6092072	0.8412090	0.2642702	0.8356728	0.8442602	0.0479737	1.0837723	0.0693589
1.1139365	0.7365527	0.4682660	1.0502011	0.1209952	0.4194606	0.7964187	0.0309369	1.0307927	0.1154794
0.9964356	0.9657874	0.9973795	0.1005349	0.6553126	0.9171741	0.2235395	0.1959062	1.1164925	0.0207962
1.0243975	0.8937997	0.8220729	0.5612557	0.3919254	0.7471171	0.8685118	0.0553129	0.9716927	0.0256928
0.9983338	0.8417671	0.8781618	0.4761735	0.3432693	0.7129927	0.7963646	0.0542707	0.4981409	0.0424434
1.0205563	0.9106643	0.9798977	0.3808932	0.3724249	0.6865441	0.6661406	0.1113651	1.0927966	0.0119616
