YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W
1.0000000	0.8985275	0.9563094	0.2795339	0.4587615	0.6378571	0.6877907	0.0932377	0.7835103	0.0145089
1.0000000	0.9037405	0.9855486	0.1829704	0.4936684	0.7438479	0.4509730	0.1245157	0.9448331	0.0260766
1.0000000	0.9013933	0.9719161	0.2359901	0.4467915	0.6394162	0.6669027	0.1022424	0.9068438	0.0177432
0.9577446	0.6242536	0.4827963	0.6705156	0.3095274	0.6751400	0.3546911	0.3232742	0.6356960	0.0794529
1.0000000	0.6731013	0.4966772	0.2714857	0.3115035	0.6152681	0.7401953	0.0727920	0.8447918	0.0659898
0.8570408	0.9279492	0.9555543	0.2806830	0.4582744	0.7653340	0.4249746	0.2760353	0.9999990	0.0275527
0.6018425	0.7173603	0.9364734	0.3228094	0.4362105	0.6916670	0.5104474	0.1944585	0.9875887	0.0285785
0.7375144	0.8273427	0.9997704	0.0394210	0.7009670	0.6497219	0.6129942	0.1285282	0.5944130	0.0191144
1.0000000	0.9031802	0.9823209	0.1973896	0.4527481	0.6751611	0.5805871	0.1113068	0.9791420	0.0262277
0.9892559	0.9436601	0.8971546	0.3933548	0.4046992	0.6744150	0.6563345	0.0835738	0.8733226	0.0308833
