YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W
1.0000000	0.8985593	0.9564097	0.2793078	0.4587940	0.6378750	0.6876900	0.0932664	0.7835103	0.0144997
1.0000000	0.9037325	0.9855115	0.1831813	0.4936091	0.7438158	0.4510501	0.1244696	0.9448331	0.0260798
1.0000000	0.9014139	0.9719930	0.2357320	0.4468411	0.6394440	0.6667900	0.1022830	0.9068438	0.0177357
0.9577446	0.6242035	0.4826184	0.6707155	0.3095456	0.6751538	0.3547001	0.3232676	0.6356961	0.0794800
1.0000000	0.6731995	0.4967355	0.2712164	0.3115589	0.6152939	0.7400466	0.0728334	0.8447918	0.0659501
0.8570408	0.9279131	0.9554454	0.2809029	0.4582460	0.7653211	0.4250136	0.2760075	0.9999990	0.0275688
0.6018425	0.7172087	0.9362974	0.3231125	0.4361916	0.6916594	0.5105201	0.1944225	0.9875887	0.0286021
0.7375145	0.8273390	0.9997693	0.0394394	0.7009635	0.6497085	0.6130203	0.1285258	0.5944130	0.0191157
1.0000000	0.9031711	0.9822794	0.1976089	0.4526927	0.6751315	0.5806822	0.1112614	0.9791420	0.0262314
0.9892559	0.9437120	0.8972563	0.3930914	0.4047670	0.6744319	0.6562855	0.0836019	0.8733226	0.0308508
