"Time"	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W

0	0.6464408	0.6549395	0.6096638	0.2608874	0.3860015	0.6509678	0.4687966	0.0979992	0.8829168	0.0553350
50	0.6137164	0.8854822	0.6597845	0.2284332	0.3882617	0.5746037	0.4422484	0.1077446	0.7834214	0.0082311
100	0.9298851	0.7877667	0.8164896	0.1499074	0.4091083	0.5472768	0.4742629	0.0674096	0.6570200	0.0228602
150	0.7387244	0.6768114	0.6310314	0.1063500	0.4162306	0.4982235	0.3851494	0.1092729	0.6833144	0.0338947
200	0.7877167	0.5951860	0.6985402	0.1682406	0.4645341	0.5294188	0.3407182	0.0992146	0.6801191	0.0342872
250	0.6654172	0.6761523	0.6924533	0.0835970	0.5393104	0.4619987	0.4481995	0.1385390	0.6616969	0.0481586
300	0.6890371	0.6597110	0.6893610	0.0807908	0.4696067	0.4364864	0.5295220	0.1210801	0.6177114	0.0190630
350	0.7666270	0.7569948	0.7839149	0.0738030	0.4401589	0.4212841	0.3627516	0.1583327	0.6923794	0.0310243
400	0.7055259	0.6745433	0.6813148	0.0990084	0.3991106	0.4667095	0.3038834	0.1613944	0.7833280	0.0399073
450	0.9325148	0.5909558	0.7840133	0.0894978	0.5562316	0.5441456	0.4217338	0.2188019	0.6962265	0.0111419
500	0.8608538	0.6622588	0.6998182	0.0701802	0.4312592	0.4826444	0.3420392	0.1539495	0.6207484	0.0082733
550	0.7524000	0.6188593	0.8670490	0.0713702	0.3545415	0.5848524	0.3604272	0.1331165	0.6932374	0.0111557
600	0.7384553	0.7135842	0.7536971	0.1054550	0.2949552	0.5272938	0.3013257	0.1539020	0.7507697	0.0135075
650	0.6806068	0.7199389	0.8099703	0.1368514	0.3318178	0.5645103	0.3719885	0.1193574	0.7661536	0.0136950
700	0.7131417	0.5198793	0.7638396	0.1879675	0.3341275	0.5748791	0.3501832	0.0905793	0.6922524	0.0283928
750	0.6817085	0.4861987	0.6831536	0.1364785	0.3493726	0.5383803	0.5305203	0.0793233	0.8197631	0.0217376
800	0.7409965	0.5464101	0.8746521	0.1343367	0.2577966	0.4633975	0.4737759	0.0837231	0.6497140	0.0225195
850	0.7034554	0.7027392	0.5690828	0.2321708	0.2396160	0.3778667	0.4764327	0.1064888	0.6793896	0.0255861
900	0.7794674	0.6590698	0.6113067	0.3121404	0.2574344	0.4060078	0.4433709	0.0498649	0.6142954	0.0435781
950	0.6381661	0.7377993	0.7342565	0.3815441	0.2619850	0.4098552	0.4613899	0.1220777	0.6675046	0.0250864
1000	0.7695898	0.7157110	0.5413759	0.3535838	0.2159728	0.5065179	0.5384770	0.0537908	0.7114767	0.0260530

0	0.7067071	0.6972417	0.6896009	0.3847773	0.3093054	0.6571401	0.3778238	0.1079434	0.8461579	0.0361738
50	0.8039094	0.7017546	0.7098515	0.1881832	0.3881203	0.5123584	0.4085930	0.1208520	0.7731003	0.0285003
100	0.8148963	0.5917492	0.6949610	0.2249330	0.3485629	0.6552162	0.2805180	0.0595936	0.7090376	0.0120924
150	0.7265488	0.5262465	0.7423376	0.1470748	0.3933973	0.6155224	0.2009694	0.0881344	0.7914081	0.0163687
200	0.6633177	0.6067473	0.6462728	0.1242465	0.4193712	0.5353096	0.2301000	0.0982033	0.6716498	0.0105425
250	0.7876504	0.6206843	0.7110876	0.0856966	0.3260820	0.5515946	0.2308028	0.1104441	0.6950122	0.0150005
300	0.7025780	0.6325275	0.7296919	0.1310931	0.3788085	0.5167129	0.1639330	0.1149976	0.7536154	0.0292514
350	0.6590459	0.6487543	0.7252075	0.0764035	0.2871493	0.5771535	0.2323082	0.1171839	0.7326048	0.0160345
400	0.6569170	0.6630121	0.7242376	0.0986468	0.4186141	0.6080896	0.1915752	0.1265804	0.6374782	0.0128891
450	0.7483910	0.7046370	0.7254461	0.1162051	0.3278240	0.6062738	0.2447514	0.1410447	0.7481622	0.0330718
500	0.7071104	0.7722472	0.8097124	0.0813794	0.3620724	0.6189039	0.2385332	0.1208844	0.7853645	0.0434878
550	0.6530101	0.6769153	0.7273205	0.0950360	0.4703730	0.5237559	0.3782076	0.0984983	0.8732091	0.0082082
600	0.8071093	0.6670322	0.7971997	0.0473357	0.5181558	0.4720400	0.3187762	0.1592181	0.7901776	0.0281744
650	0.7299686	0.6965459	0.7280035	0.0780219	0.3328228	0.4658740	0.3898183	0.2179595	0.7621613	0.0187371
700	0.6253957	0.5896182	0.6781363	0.0949819	0.3797390	0.3864856	0.4305227	0.1781788	0.6896619	0.0282481
750	0.6751479	0.6866478	0.6115334	0.1768829	0.2969153	0.4916217	0.4793807	0.1315575	0.6662453	0.0115862
800	0.6867829	0.6952108	0.7307137	0.2754372	0.2876417	0.4757525	0.4285007	0.0770206	0.7170623	0.0461363
850	0.6521207	0.6644225	0.6275515	0.2722017	0.2262164	0.5243590	0.3068567	0.0748653	0.7352175	0.0062691
900	0.6874384	0.7814038	0.5889439	0.2643711	0.3418266	0.4306872	0.4581447	0.0521581	0.7494336	0.0262915
950	0.6876676	0.5965345	0.6630508	0.1673295	0.2888141	0.4866979	0.5073154	0.0737846	0.8185297	0.0155640
1000	0.5895340	0.5892533	0.6502242	0.1611146	0.2256406	0.5500098	0.5089813	0.1039490	0.6866768	0.0142889

0	0.7340803	0.6032598	0.5812902	0.3313419	0.2695116	0.5158751	0.4366920	0.0972014	0.7393904	0.0255128
50	0.7114185	0.6133294	0.6843281	0.1626132	0.2652766	0.4377362	0.3477123	0.2075301	0.8082810	0.0218966
100	0.7890984	0.6341362	0.7755416	0.1657525	0.3100329	0.4670343	0.2412671	0.3544246	0.6408009	0.0185991
150	0.6610460	0.5808198	0.7092877	0.1975580	0.2312592	0.5872866	0.2277773	0.5043008	0.7816024	0.0562451
200	0.7720632	0.7248436	0.6343482	0.1811081	0.3096911	0.5920292	0.0943290	0.4478182	0.6953649	0.0301807
250	0.8570009	0.6202331	0.5756037	0.1626758	0.4701964	0.6969515	0.0682047	0.5103223	0.8178201	0.0231950
300	0.6977179	0.6893038	0.6236468	0.1394152	0.4561570	0.6600417	0.0840921	0.4612338	0.7308971	0.0525424
350	0.6288301	0.9416558	0.7789408	0.0684460	0.4674340	0.5721224	0.0556784	0.5294208	0.7132399	0.0473135
400	0.7945337	0.6960897	0.7035511	0.0434275	0.4587974	0.6286984	0.0507010	0.5019102	0.7645964	0.0330567
