"Time"	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C

0	0.6591946	0.4809636	0.4495238	0.1336238	0.2294961	0.4177404	1.0892630	0.2647102	0.7321969	0.3759237
50	0.3686454	0.6429255	0.3882001	0.0862620	0.1499434	0.4649122	0.9872068	0.3012108	0.6537987	0.3977958
100	0.2235620	0.7510367	0.4277080	0.0576576	0.1633583	0.4879415	0.9084983	0.3167723	0.6489300	0.5955231
150	0.1876853	0.7138364	0.4016177	0.0541962	0.2308339	0.5268021	0.8501022	0.3743463	0.4828574	0.7036846
200	0.1830626	0.7044576	0.3734724	0.1020217	0.2443335	0.5033740	0.8836806	0.2742541	0.3280719	0.8056089
250	0.1964408	0.7562053	0.3075661	0.1561058	0.2902822	0.5243553	0.9270903	0.2964493	0.2725768	0.7490061
300	0.2132467	0.7502055	0.1876130	0.2351063	0.2806028	0.5507604	0.9589786	0.2749921	0.3058806	0.7910692
350	0.1781132	0.8279777	0.0808017	0.3344209	0.2645011	0.4495189	0.8233422	0.1769206	0.2734742	0.7064175
400	0.1490609	0.9491043	0.0452297	0.2741313	0.2723735	0.4695133	0.9497945	0.1418320	0.2588986	0.6869793
450	0.1093251	0.9602404	0.0780970	0.2428081	0.2151330	0.4648389	0.9609337	0.1613158	0.3304141	0.5870923
500	0.0683924	0.9766403	0.0927475	0.1630586	0.2046982	0.4247704	0.9653123	0.2446431	0.3641107	0.4889776
550	0.1060408	0.9707704	0.3717331	0.1151352	0.1838980	0.4102656	0.8665121	0.2613517	0.4599140	0.5923084
600	0.1445071	0.8166549	0.5862465	0.0578543	0.1682218	0.4258042	0.8553542	0.3462479	0.4452537	0.7989234
650	0.2187467	0.6301105	0.7219092	0.0944406	0.1943668	0.4733679	0.9347502	0.3336713	0.3347660	0.8411572
700	0.2957124	0.5645206	0.8327231	0.1046926	0.1879624	0.4430028	0.8764036	0.2876541	0.2779650	0.6609223
750	0.3804300	0.3826928	0.7026635	0.0784197	0.1637652	0.4782878	0.9377619	0.2946213	0.2711784	0.6489176
800	0.5329241	0.3720268	0.9023453	0.0679947	0.1948757	0.4857574	0.9473534	0.3734664	0.2773119	0.5372908
850	0.7146771	0.3245368	0.8259200	0.1019876	0.2144807	0.4405799	0.7885149	0.3493214	0.3958185	0.5007601
900	0.7755127	0.3482013	0.5883620	0.2891450	0.2109427	0.4407261	0.8308391	0.1992553	0.4512583	0.4039375
950	0.7604000	0.3873558	0.3585698	0.2251731	0.2262300	0.5141142	0.9364104	0.1708338	0.6291716	0.2985486
