YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C
0.2928097	0.4440007	0.6508839	0.1029168	0.2012257	0.4368314	0.9264168	0.2748294	0.3910083	0.6355154
0.9089541	0.2219974	0.6508760	0.1029189	0.2012270	0.4368328	0.9264180	0.2748260	0.9554121	0.2165227
0.2714533	0.7609012	0.3254618	0.1029121	0.2012245	0.4368338	0.9264077	0.2748389	0.3794560	0.6452063
0.8118908	0.2974411	0.9186140	0.0514566	0.2012243	0.4368314	0.9264123	0.2748357	0.9331092	0.2467970
0.8225031	0.2939190	0.9284339	0.0455572	0.1412557	0.5573232	0.7203505	0.4907476	0.9384564	0.2414454
0.8242328	0.2889435	0.9406341	0.0451061	0.1466682	0.2877138	0.6821076	0.5015146	0.9369631	0.2425743
0.1826644	0.9965813	0.0372000	0.5472305	0.3679923	0.7088094	0.4976675	0.1058090	0.9719655	0.1874159
0.6879105	0.3778034	0.7524094	0.0852363	0.1888800	0.4096517	0.9853085	0.1562823	0.8851056	0.2960785
0.5857494	0.4439062	0.6509359	0.1029185	0.2012310	0.4368461	0.9264010	0.2748321	0.4078320	0.3512695
0.5857494	0.4439062	0.6509359	0.1029185	0.2012310	0.4368461	0.9264010	0.2748321	0.9769730	0.1756372
