YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W
0.1319027	0.5596767	0.7429451	0.6254675	0.8297508	0.1964291	0.3258225	0.2729053	0.1787761	0.2564829
0.8507659	0.9631492	0.9265854	1.0652068	0.1761530	0.6911520	0.4730859	0.5744066	0.8074992	1.0417425
0.1928494	0.3021282	0.5803841	0.4617402	0.9708199	0.0192460	0.1499731	0.0006826	0.0081768	0.0716696
0.4609288	0.7615487	0.8998328	0.5740360	0.9877746	0.1555007	0.0198668	0.0687102	0.0346320	0.2297318
0.0024045	0.0010163	0.1676845	0.5985616	0.9388561	0.1021404	0.2823819	0.3869936	0.1158516	0.2223935
0.2134192	0.6326601	0.8429355	0.5884728	0.8431401	0.2462230	0.0110172	0.0870124	0.2408416	0.3982627
0.4015345	0.7273454	0.8889908	0.6476251	0.9052105	0.0484841	0.1320061	0.4008036	0.0473739	0.2479768
0.4904073	0.7656758	0.8838062	0.5541178	0.9356975	0.1250481	0.0926054	0.2960134	0.1345610	0.2977558
0.3287036	0.8400967	0.8911089	0.6509175	0.8640950	0.0010263	0.0001200	0.0009681	0.0187707	0.1766032
0.4053771	0.6464519	0.8534939	0.8598202	0.4446874	0.1708931	0.2489374	0.5327774	0.5998287	0.5540612
