YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W
0.0547446	0.4515095	0.6305984	0.5623239	0.9511547	0.1274474	0.1013933	0.0760512	0.0572794	0.2575803
0.0801017	0.2261165	0.6309797	0.5632232	0.9495807	0.1292807	0.1013956	0.0760704	0.0579884	0.2587786
0.0794567	0.0516234	0.3154676	0.5631484	0.9496460	0.1292438	0.1013952	0.0760673	0.0578784	0.2586286
0.0794585	0.0812000	0.3722009	0.2815591	0.9496777	0.1292142	0.1013185	0.0755248	0.0064448	0.0789403
0.3968905	0.7381589	0.8169794	0.8831092	0.4244145	0.2212531	0.2216362	0.3772132	0.5085984	0.6974815
0.1043344	0.4361308	0.6222973	0.5422439	0.9891027	0.0650404	0.1013535	0.0757677	0.0446105	0.2334018
0.1081456	0.4477333	0.6285674	0.5572503	0.9605939	0.1155130	0.0506901	0.0759572	0.0537659	0.2512985
0.1096623	0.4519859	0.6308438	0.5629048	0.9501139	0.1286799	0.0974321	0.0380324	0.0577452	0.2583461
0.1097634	0.4523443	0.6310740	0.5635659	0.9488465	0.1301925	0.1013287	0.0755892	0.0290502	0.2591060
0.1097567	0.4523337	0.6310705	0.5635604	0.9488536	0.1301872	0.1013192	0.0755285	0.0120733	0.1295482
