YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W
0.1783061	0.9743393	0.3122092	0.6314845	0.9242229	0.2784238	0.3443840	0.8462311	0.9358952	1.0000000
0.1719451	0.9987172	0.0592818	0.1776642	0.2003042	0.0347577	0.6516554	0.6930546	0.9523199	1.0000000
0.1223445	0.9991932	0.1149774	0.3465927	0.9530288	0.2502102	0.4857340	0.6850246	0.9240765	1.0000000
0.4100060	0.9984480	0.1374990	0.3466277	0.7638893	0.1569516	0.4883908	0.6773947	0.6289373	0.8509255
0.3617168	0.9996065	0.2506926	0.5652321	0.9193288	0.2692347	0.3812402	0.8320968	0.7559335	0.7866538
0.3217446	0.9995743	0.1096305	0.2485227	0.9309943	0.2532228	0.4658031	0.8548030	0.5932349	1.0000000
0.4822228	0.9850029	0.7250449	0.7497981	0.8195760	0.1522533	0.1918150	0.7226212	0.7022993	0.6684854
0.1896159	0.9729450	0.0816480	0.4127663	0.9077363	0.2509246	0.4808732	0.6785843	0.9090737	1.0000000
0.2346470	0.9993195	0.1401419	0.1373683	0.9374585	0.2503461	0.4847433	0.7849059	0.8233752	1.0000000
0.2628235	0.9729625	0.1017710	0.2277373	0.7341890	0.1209129	0.5476102	0.6796233	0.8654022	0.8145657
