YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C
0.0408882	0.0649527	0.3618867	0.1672475	0.5565877	0.5023329	0.4026759	0.8491664	0.3486869	0.8444699
0.0905605	0.0619242	0.2862770	0.2160894	0.4082616	0.5848140	0.4561351	0.8595845	0.1740468	0.7046662
0.0464122	0.0150921	0.1531313	0.1968653	0.4360800	0.5966957	0.4215676	0.9560374	0.3279602	0.9256778
0.0454644	0.0479524	0.3092943	0.1366991	0.5330055	0.4152299	0.4682014	0.6965285	0.2560394	0.6554164
0.0796425	0.0105440	0.1062822	0.3901664	0.1854617	0.5154049	0.5253860	0.8876145	0.1192205	0.7911001
0.1065766	0.1474489	0.2318535	0.1625058	0.4178334	0.1891170	0.6674635	0.7694463	0.3170465	0.6345627
0.3279993	0.1613902	0.2377417	0.3969498	0.2613160	0.0971404	0.1944010	0.8017652	0.2063126	0.6715691
0.1189698	0.2929100	0.4539953	0.0917479	0.3916191	0.1148881	0.2715176	0.3648705	0.4406127	0.7321885
0.0879232	0.0648726	0.2556999	0.1952765	0.4361704	0.5250625	0.3204548	0.6495109	0.0759385	0.8240233
0.0641255	0.0678352	0.2881710	0.1994320	0.5517913	0.5287169	0.4828363	0.7692697	0.4200057	0.3808325
