YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C
0.0226703	0.0083123	0.0519924	0.4998354	0.2781709	0.8951555	0.8567091	1.0000000	0.2196327	0.8947330
0.2685973	0.0360016	0.4700041	0.1231584	0.7993712	0.3956132	0.4951137	0.7568073	0.6162578	0.9420182
0.3226351	0.0505422	0.3553932	0.2125067	0.5351356	0.7022580	0.6655597	0.8880325	0.6792342	0.9921779
0.0000630	0.0308958	0.2755091	0.2825828	0.4136520	0.6983237	0.6251101	0.9189549	0.3459952	0.6953879
0.0000860	0.0336931	0.2814861	0.2274145	0.5498644	0.7205695	0.6270149	0.9504976	0.4928026	0.9993724
0.3646973	0.2290379	0.2398522	0.3207438	0.2371803	0.6350866	0.6199920	1.0000000	0.0506567	0.9999827
0.1947225	0.3110826	0.0962835	0.7441107	0.1529402	0.6125708	0.6063422	0.9813282	0.0850067	0.9998742
0.1253813	0.1633798	0.4175327	0.1945033	0.5111851	0.4029232	0.4985728	0.7160686	0.1971489	0.6104662
0.0003821	0.0511596	0.3134438	0.2188422	0.6006891	0.6111484	0.6055020	1.0000000	0.2104886	0.9998407
0.0365815	0.0134119	0.2238044	0.3294708	0.3070418	0.8057132	0.7610316	1.0000000	0.2936886	0.9482831
