YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C
0.0207028	0.0590876	0.0422077	0.9170676	0.0333992	0.0623467	0.1886665	0.5441626	0.2215922	1.0000000
0.0238758	0.0295438	0.0422782	0.9431688	0.0273233	0.0623467	0.1886665	0.5583432	0.2215922	1.0000000
0.0414004	0.0590876	0.0214511	0.9170676	0.0333992	0.0623467	0.1886665	0.5441623	0.2215922	1.0000000
0.0414004	0.0590876	0.0425826	0.4585339	0.0333992	0.0623467	0.1886665	0.1957923	0.2215922	1.0000000
0.0414004	0.0590876	0.0429082	0.9782980	0.0167015	0.0623467	0.1886665	0.5760754	0.2215922	1.0000000
0.0414004	0.0590876	0.0428988	0.9101178	0.0349076	0.0311734	0.1886665	0.5404065	0.2215922	1.0000000
0.0414004	0.0590876	0.0429000	0.9186299	0.0330125	0.0677130	0.0943337	0.5448390	0.2215922	1.0000000
0.0414004	0.0590876	0.0428998	0.9170675	0.0333992	0.0623467	0.1886665	0.2720816	0.2215922	1.0000000
0.0414004	0.0590876	0.0428998	0.9168722	0.0334433	0.0617295	0.3527735	0.4798106	0.1107964	1.0000000
0.0414004	0.0590876	0.0428999	0.9177980	0.0332269	0.0647708	0.1168694	0.6295699	0.3558866	0.5000006
