YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C
0.1214578	0.1188817	0.1114567	0.7400932	0.0653521	0.0007585	0.1773746	0.6494267	0.2359005	0.8357892
0.5486707	0.0001920	0.2919486	0.5086954	0.1084139	0.0003231	0.2107167	0.1983181	0.1977771	0.7822931
0.1331112	0.1026131	0.0117132	0.9435200	0.0273204	0.0152660	0.1886665	0.5988829	0.2215922	1.0000000
0.0000801	0.0004743	0.3646431	0.0323117	0.5617774	0.0623836	0.1856200	0.3807244	0.2252957	0.9446336
0.2701256	0.2379444	0.3596911	0.0581412	0.4500135	0.0651649	0.1122853	0.4357230	0.0468553	0.7238177
0.1794147	0.1475015	0.1697281	0.5980457	0.0427024	0.0623467	0.1886665	0.2858036	0.2215922	1.0000000
0.1282846	0.0008671	0.2949744	0.4541529	0.1211379	0.0616716	0.4570030	0.1440551	0.0782304	0.8521618
0.0968339	0.1575900	0.0356302	0.8475732	0.0469111	0.0645049	0.1204049	0.5900717	0.2215922	1.0000000
0.0000017	0.0000000	0.0000008	0.8091196	0.0000064	0.0623467	0.1886665	0.5523600	0.2215922	1.0000000
0.1795534	0.0004025	0.3511737	0.9999888	0.0000075	0.0623467	0.1886665	0.6687422	0.2215922	1.0000000
