YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C
0.0175186	0.0386674	0.0376690	0.7166335	0.0402684	0.0608431	0.1690799	0.3332471	0.1894010	0.7319840
0.0206052	0.0111280	0.0527576	0.6949095	0.0215161	0.0395512	0.1697029	0.3758362	0.1272508	0.6436946
0.0459185	0.0269326	0.0075051	0.6181384	0.0254480	0.0406761	0.0973864	0.3510520	0.1626129	0.6849593
0.0308056	0.0366597	0.0366645	0.3049938	0.0221833	0.0365597	0.1293380	0.0956048	0.2144716	0.8777980
0.0313809	0.0534507	0.0315876	0.6684262	0.0315421	0.0645528	0.1841078	0.4084246	0.1572849	0.6276718
0.0456946	0.0419556	0.0551723	0.6752000	0.0161850	0.0443834	0.1523721	0.4076794	0.1974211	0.7496685
0.0152653	0.0163244	0.0659158	0.6219259	0.0432618	0.0614593	0.0317740	0.4016322	0.1544825	0.7247849
0.0130228	0.0267268	0.0341988	0.5236671	0.0260858	0.0339463	0.1825751	0.1924287	0.1404960	0.6548665
0.0676759	0.0303150	0.0280104	0.5488828	0.0403778	0.0504740	0.1650608	0.2920709	0.0709922	0.8375308
0.0263790	0.0349112	0.0335895	0.6469349	0.0246305	0.0432184	0.0513164	0.4132438	0.2224386	0.3467648
