"Time"	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W

0	0.1097467	0.0022802	0.9317927	0.4939591	0.7541792	0.9983254	0.0847027	0.4530925	0.5986236	0.3572819
50	0.1368420	0.0011512	0.8576315	0.3442739	0.7735089	1.1117965	0.0797159	0.5128668	0.5993268	0.4080273
100	0.1326730	0.0035346	0.9697462	0.3017424	0.7722226	1.0514717	0.0379601	0.4533907	0.6148386	0.4404338
150	0.1347531	0.0063487	0.9685263	0.3109926	0.7365149	1.0537381	0.0130113	0.4277711	0.6339210	0.3799634
200	0.1176344	0.0133539	1.0740634	0.2252036	0.7503574	1.0243146	0.0107707	0.4038220	0.6386910	0.3826671
250	0.1593297	0.0108082	1.0088750	0.2462317	0.7513350	1.0055580	0.0026447	0.3962244	0.5914244	0.3777664
300	0.1502388	0.0048384	0.9177534	0.2628087	0.8538803	1.0168659	0.0017034	0.4748937	0.5749119	0.3332291
350	0.1490331	0.0126822	0.8506974	0.2269785	0.7589706	1.0183939	0.0018654	0.4049820	0.6042842	0.3928610
400	0.1274360	0.0089401	0.8750784	0.2527462	0.8656182	1.0444066	0.0011791	0.4184990	0.6190996	0.4620456
450	0.1302210	0.0070876	0.9613355	0.2481734	0.8109099	1.0975976	0.0045896	0.4563189	0.6401851	0.4329269
500	0.0975099	0.0020817	1.0053899	0.2521130	0.8935297	1.0821677	0.0035506	0.4261068	0.6888848	0.3964954
550	0.1154574	0.0099311	1.1228566	0.3107852	0.8377610	0.9440926	0.0336336	0.4205909	0.6508343	0.4226342
600	0.1136723	0.0062776	1.0017487	0.3440143	0.8479413	0.9693331	0.0630026	0.4128120	0.6173173	0.3695662
650	0.1451550	0.0033571	0.9594904	0.4189006	0.7983130	0.9281000	0.0996545	0.4167465	0.6067400	0.4158944
700	0.1325971	0.0046292	0.8936061	0.4222466	0.8755752	0.9738322	0.0677889	0.4647708	0.6229491	0.3623091
750	0.0974240	0.0015053	0.8942842	0.5250617	0.8318728	0.9078350	0.0853127	0.3759126	0.5435832	0.3971060
800	0.1001700	0.0035535	0.9125494	0.3800407	0.7640939	0.9399783	0.0817984	0.3821069	0.6080079	0.3802855
850	0.0993048	0.0077313	0.9112909	0.4927221	0.8384572	1.0063620	0.0955762	0.3682034	0.5762067	0.3714605
900	0.1062935	0.0041299	0.7791558	0.4255023	0.7631951	1.0717811	0.1035156	0.3803594	0.5677486	0.4161842
950	0.1165027	0.0089375	0.9058189	0.4102817	0.7857821	0.9328061	0.0915171	0.4051492	0.5793520	0.4285289
1000	0.1498484	0.0091138	0.9786994	0.4135241	0.7316060	0.9402623	0.1051132	0.4606916	0.7568350	0.4380200

0	0.1097467	0.0022802	0.9317927	0.4939591	0.7541792	0.9983254	0.0847027	0.4530925	0.5986236	0.3572819
50	0.1504119	0.0039005	0.8500192	0.4979063	0.7581051	0.9658507	0.0868862	0.3741182	0.5949499	0.3696606
100	0.1383425	0.0028187	0.8256995	0.4972914	0.7057486	1.0029226	0.1020802	0.3979415	0.5475757	0.4033224
150	0.1230006	0.0037470	0.8341675	0.5144853	0.6872651	0.9382713	0.0905623	0.4191555	0.5517710	0.4651706
200	0.1213372	0.0061118	0.7909941	0.6050912	0.6697003	0.9648532	0.1164905	0.3914664	0.6962772	0.4657190
250	0.1426813	0.0149096	0.7925241	0.5844250	0.7468047	0.9522760	0.1259058	0.4104128	0.7695769	0.4722607
300	0.1819015	0.0116157	0.7659527	0.5005350	0.7125519	0.9358771	0.1020689	0.3914090	0.6918442	0.4516056
350	0.1657381	0.0107328	0.7902287	0.5284513	0.6917552	0.9576426	0.0893383	0.3786326	0.6990787	0.4400121
400	0.1202351	0.0027620	0.7283481	0.5519122	0.7565745	0.9615213	0.0928008	0.3573654	0.7088429	0.5616971
450	0.0958681	0.0022158	0.7572976	0.5008419	0.7798585	1.0573054	0.0977613	0.3459362	0.7140542	0.5367012
500	0.1183617	0.0022758	0.9207509	0.5249717	0.7630598	1.0513831	0.0904318	0.3140651	0.6966339	0.4989165
550	0.0950966	0.0016714	0.9121380	0.4942266	0.7705948	1.1203167	0.1098279	0.3971912	0.7354469	0.3691275
600	0.1540957	0.0013674	0.8683628	0.5049988	0.8966607	1.0153031	0.1357374	0.3762047	0.6584696	0.3760858
650	0.1495934	0.0026047	0.9275973	0.4558344	0.8641313	0.9352218	0.1043559	0.3395671	0.6763437	0.4268266
700	0.1210069	0.0015103	0.9352359	0.4390278	0.7672157	1.0812955	0.0976434	0.3677487	0.6098517	0.3885622
750	0.1087195	0.0052641	0.8843715	0.4535193	0.7323298	1.0351301	0.1188202	0.3402400	0.7009388	0.3857284
800	0.1085861	0.0024133	0.8743689	0.4691296	0.7654286	1.1115614	0.0998018	0.3549717	0.6771344	0.4194954
850	0.1047745	0.0055067	0.8940199	0.5641960	0.8725987	1.1080497	0.1149562	0.3138287	0.6231974	0.3841222
900	0.1374924	0.0082376	0.8794324	0.5544209	0.8206643	1.0360930	0.1117282	0.4105632	0.6190422	0.3940593
950	0.1250590	0.0044189	0.8226316	0.6306401	0.7714342	1.1048765	0.0943760	0.4238081	0.6396666	0.3973500
1000	0.1419934	0.0011419	0.7481746	0.5182025	0.7334552	0.9994333	0.0706410	0.3979062	0.5719279	0.4532548

0	0.1097467	0.0022802	0.9317927	0.4939591	0.7541792	0.9983254	0.0847027	0.4530925	0.5986236	0.3572819
50	0.1634954	0.0135768	0.7742944	0.5232569	0.7687399	1.0566412	0.0872630	0.3789356	0.6685912	0.4003553
100	0.2217092	0.0154246	0.8384571	0.4756455	0.7805836	0.9750788	0.0577325	0.4295248	0.6692305	0.4208284
150	0.1662511	0.0100981	0.8850289	0.5539015	0.7175744	0.9784273	0.0748338	0.4477963	0.6368852	0.4649801
200	0.1490827	0.0091150	0.7723114	0.5699773	0.6848745	1.0070527	0.0676311	0.4717756	0.6154767	0.4334273
250	0.1407803	0.0063072	0.8155989	0.6022207	0.7016053	0.9955846	0.1049136	0.4710510	0.6393106	0.4051075
300	0.1289198	0.0025845	0.8173724	0.5630153	0.7892929	0.9252320	0.1244215	0.4366517	0.5858436	0.4115072
350	0.1100053	0.0062846	0.7838463	0.4637856	0.7906606	0.9952703	0.0844682	0.4121287	0.6556163	0.4530626
400	0.1011080	0.0100147	0.7808183	0.4811651	0.7285896	0.9684494	0.0861650	0.4135439	0.6983891	0.4584440
450	0.1284698	0.0096847	0.7881420	0.4992163	0.7258707	1.0589417	0.0694105	0.3634945	0.6903626	0.4397392
500	0.1114041	0.0031352	0.8519080	0.5128009	0.7936092	1.0235090	0.0740709	0.3663434	0.6336262	0.4053694
550	0.0870009	0.0040658	0.8831160	0.5121336	0.8552720	0.9704777	0.0719003	0.3803535	0.5950486	0.4260570
600	0.0935892	0.0058661	0.8390332	0.4617229	0.7942332	0.9206935	0.0656189	0.4175525	0.6292973	0.4213066
650	0.1090853	0.0071020	0.7861441	0.4933128	0.7593136	0.9454089	0.0922088	0.4200207	0.6528012	0.4933159
700	0.1019342	0.0067520	0.7925200	0.5704306	0.7542886	0.9694805	0.1249433	0.3920536	0.7044596	0.4885342
750	0.1280304	0.0121419	0.7607011	0.5597880	0.8145610	0.9614321	0.0654031	0.3704456	0.6864148	0.4383889
800	0.1116271	0.0066194	0.7722573	0.5474312	0.7541127	0.9413035	0.0798249	0.3492878	0.6260729	0.4039025
850	0.1306358	0.0058246	0.6886415	0.4979172	0.7137815	1.0043600	0.1117674	0.3721250	0.6114506	0.4219218
900	0.1354926	0.0060187	0.6904130	0.4830481	0.8062597	0.9449627	0.0900237	0.3430288	0.6916679	0.5223403
950	0.1239978	0.0046810	0.7685942	0.4676797	0.8227644	0.9942769	0.0927467	0.3682450	0.6876255	0.5136486
1000	0.1089536	0.0074658	0.7473905	0.5368846	0.7444446	1.0243534	0.0945831	0.3988854	0.7043455	0.5631816

0	0.1097467	0.0022802	0.9317927	0.4939591	0.7541792	0.9983254	0.0847027	0.4530925	0.5986236	0.3572819
50	0.4024331	0.0080336	0.9106394	0.3678435	0.6708826	0.9391958	0.1068376	0.3473017	0.5399924	0.3986558
100	0.6453387	0.0077814	0.8981678	0.2401475	0.5387766	0.9071257	0.0970723	0.2069517	0.6466389	0.3771455
150	0.7680020	0.0030926	0.9557589	0.2837705	0.4726036	1.0539070	0.0993010	0.1425556	0.6552361	0.3692609
200	0.8968474	0.0065341	1.0213287	0.3080685	0.4137691	1.0585708	0.1047831	0.1372944	0.6119898	0.3402298
250	0.8847099	0.0058975	1.0013940	0.2948707	0.4301694	0.9905044	0.2089721	0.0816793	0.5907335	0.3130631
300	0.9399181	0.0028999	1.0192230	0.2771088	0.4111720	0.9393803	0.3242392	0.1013863	0.5310504	0.3479713
350	0.9088749	0.0018778	0.9680838	0.2433234	0.4481290	0.9352995	0.3905856	0.0737353	0.5763759	0.3963845
400	1.0142205	0.0023859	0.9673016	0.2793571	0.4346147	0.8695177	0.5638516	0.0533637	0.5831302	0.3961904
450	0.9568762	0.0037983	0.9595425	0.3057723	0.4598279	0.5496596	0.7108950	0.0399485	0.6490394	0.3884205
500	0.8783409	0.0006063	0.9388790	0.3494750	0.4773176	0.3439988	0.9508652	0.0249590	0.6396828	0.3953215
550	0.5347172	0.0013888	0.9040038	0.4855888	0.6151936	0.1952548	0.8696209	0.0928887	0.5526917	0.4144742
600	0.3755118	0.0090715	0.8702668	0.5867890	0.7840711	0.1241353	0.7674784	0.2398631	0.5697001	0.4075571
650	0.2187771	0.0111258	0.7555479	0.4985271	0.8060234	0.1006795	0.4748719	0.2624106	0.5765498	0.3887780
700	0.1554629	0.0113101	0.7387858	0.4637217	0.8981272	0.3345546	0.2637457	0.3991992	0.6436635	0.4299836
750	0.1196201	0.0146554	0.8481255	0.4212779	0.7333216	0.6657001	0.1671121	0.4450542	0.6126328	0.4998239
800	0.1371991	0.0040218	0.8860346	0.4436126	0.7911363	0.7807282	0.1385660	0.4268761	0.6133162	0.4425214
850	0.1051247	0.0048350	0.8775832	0.4799674	0.8139200	0.9260683	0.1101246	0.4409603	0.6373224	0.4263356
900	0.0925324	0.0059625	0.8953078	0.4059173	0.7686220	1.0023418	0.1087068	0.5077320	0.6956971	0.3901500
950	0.0889290	0.0073965	0.8755920	0.4595545	0.7731293	0.9061449	0.0814963	0.4211494	0.6177994	0.3211545
1000	0.1173306	0.0128792	0.8379687	0.4218070	0.7221051	0.8666682	0.0780814	0.4237465	0.5725243	0.4053966

0	0.1097467	0.0022802	0.9317927	0.4939591	0.7541792	0.9983254	0.0847027	0.4530925	0.5986236	0.3572819
50	0.1496921	0.0088625	0.8760833	0.5076861	0.8156017	1.0418266	0.0717061	0.3507958	0.5959658	0.4470230
100	0.1360552	0.0055303	0.7946820	0.5449056	0.8204081	1.0079138	0.0858978	0.2610591	0.6424991	0.4351912
150	0.1308129	0.0037604	0.7701492	0.4740430	0.8016057	0.9603025	0.0933321	0.1587516	0.5979513	0.4295149
200	0.1147983	0.0015264	0.8802719	0.4452074	0.8579827	0.9419030	0.1460711	0.1601299	0.6467933	0.4414485
250	0.1218875	0.0066620	0.8817207	0.4162738	0.8847408	0.9474567	0.1221625	0.1275825	0.6749077	0.4205738
300	0.1340980	0.0019948	0.8750861	0.3918833	0.9042234	0.9265265	0.2381396	0.1038219	0.6561453	0.4679107
350	0.1662714	0.0006990	0.9603446	0.4355959	0.8842552	0.9292471	0.2432488	0.1250773	0.6384934	0.4633102
400	0.1415746	0.0005204	1.0173384	0.4454264	0.8806536	0.8215962	0.2335591	0.1402173	0.6205258	0.4164721
450	0.1372474	0.0031127	0.9595497	0.4265487	0.9437215	0.9117085	0.1546132	0.1320679	0.6053375	0.3641411
500	0.1630820	0.0047212	0.9959066	0.3676947	0.9337207	0.9146446	0.2166611	0.0885832	0.6260529	0.3464488
550	0.1333341	0.0046413	0.9726437	0.3297971	0.8804587	0.8962971	0.2353842	0.2157179	0.5923309	0.3711490
600	0.1216224	0.0086621	1.0647227	0.3862431	0.8469537	0.8731429	0.1738456	0.3071746	0.5366441	0.3664796
650	0.1052095	0.0109399	0.9891071	0.3781551	0.8162432	0.9328336	0.1230594	0.3979451	0.5345376	0.3197529
700	0.1468479	0.0082980	0.9745959	0.4208158	0.7849457	1.1126550	0.1232609	0.4078087	0.5690477	0.3367542
750	0.1365624	0.0059784	0.9358845	0.4244110	0.7744479	1.0574502	0.0908014	0.4037994	0.5294741	0.3505093
800	0.1343522	0.0048882	0.9224443	0.4874349	0.7369324	1.0125356	0.1019684	0.4468261	0.5658611	0.3632949
850	0.1021290	0.0007610	0.8812661	0.5751891	0.7140520	0.9414378	0.0958817	0.4237608	0.5406715	0.4085048
900	0.0681238	0.0033075	0.7165495	0.5628386	0.7279788	0.9473342	0.1116535	0.4344221	0.6415888	0.4216910
950	0.0694130	0.0033943	0.6896226	0.5272767	0.7267268	0.9142728	0.0993796	0.4116699	0.5717408	0.4872968
1000	0.0940543	0.0023342	0.6351083	0.5724947	0.6922972	0.9712930	0.0700732	0.4195433	0.5527275	0.4562141

0	0.1097467	0.0022802	0.9317927	0.4939591	0.7541792	0.9983254	0.0847027	0.4530925	0.5986236	0.3572819
50	0.4089036	0.0056614	0.6299299	0.4821978	0.6741646	0.9599066	0.0639103	0.4874288	0.5626658	0.3168838
100	0.6871063	0.0098596	0.4124057	0.3603567	0.5069774	0.9494611	0.0873130	0.4439284	0.5605014	0.3531309
150	0.9178718	0.0466949	0.2205609	0.4271443	0.4633596	1.0101684	0.0657436	0.4501661	0.4938006	0.4065726
200	1.0586394	0.2854486	0.0755718	0.5120886	0.4130461	1.0106998	0.1121468	0.4389593	0.5255268	0.5693566
250	1.0723644	0.6324165	0.0450590	0.5414325	0.4093605	1.0728062	0.0866932	0.4752660	0.5564325	0.5402800
300	1.0222806	0.8289280	0.0321320	0.5346244	0.4050373	1.0447893	0.0662983	0.4122056	0.6871996	0.5508694
350	1.0214445	0.9178200	0.0279609	0.4694355	0.4665103	0.9657783	0.0920699	0.3789580	0.7340949	0.5820635
