YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W
0.0000000	0.7616179	0.5242091	1.0767857	1.0441526	0.6875658	0.4855484	0.9738894	0.5575848	0.4304279
0.9685966	0.0000000	0.5490432	1.0066675	1.1141743	0.8434872	0.6716232	0.8853683	0.5488175	0.4774643
1.0200301	0.0329639	0.0000000	0.9399447	0.9923635	1.0004761	0.6921923	0.8784997	0.5679185	0.4455944
1.0153723	0.0402624	0.0042581	0.0000000	1.0504459	1.0023213	0.6712200	0.9159924	0.9962438	0.5011756
1.0014780	0.0478621	0.0016475	0.0511536	0.0000000	0.9781762	0.7061679	0.9002594	0.9400615	0.4120506
0.0287911	0.7361919	0.4663400	0.9871374	0.8698543	0.0000000	0.2597888	0.8788507	0.6083300	0.4979615
0.0210370	0.7240454	0.4673220	0.9192185	0.9718394	0.9445666	0.0000000	0.8852514	0.5070282	0.4444533
0.0205612	0.7392193	0.5262438	0.9071945	1.0939498	0.5057963	1.0287657	0.0000000	0.4075916	1.0843727
0.0220470	0.7382023	0.5304807	1.0413392	1.0663473	0.5314231	1.0324427	0.0408427	0.0000000	0.9084814
0.0351038	0.7528862	0.4425749	1.0970442	0.9415379	0.7550612	0.4644018	0.9421304	0.9935171	0.0000000
