YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W
0.0208829	0.7214866	0.5028848	0.9999244	1.0000000	0.6538143	0.4881695	0.9204557	0.5901128	0.4280632
0.0208906	0.7214686	0.5028598	0.9998845	0.8737944	0.5472039	0.3962575	0.9242915	0.5908589	0.4269767
0.0042050	0.8746283	0.4714264	0.9508324	0.4627667	0.5377612	0.3698414	0.8914625	0.5990014	0.4362933
0.0216140	0.7098001	0.4741655	0.9534972	0.9194265	0.7170218	0.4209448	0.8095394	0.5443172	0.3608980
0.0042548	0.7911694	0.5028852	0.9999250	1.0000000	0.5230592	0.4133806	0.8328502	0.6571998	0.3358126
0.0086269	0.7176311	0.4931082	0.9529918	0.6405853	0.7218808	0.4472436	0.8298201	0.4266739	0.4548301
0.0161730	0.8355201	0.5028869	0.9999278	1.0000000	0.6416371	0.4772705	0.9228623	0.6138215	0.3930039
0.0115982	0.7093839	0.4731891	0.9535351	1.0000000	0.6922291	0.3765982	0.8292091	0.6365649	0.3781731
0.0188429	0.7608307	0.6219445	0.9999210	1.0000000	0.6206473	0.4783641	0.8566300	0.5784474	0.4465838
0.0208868	0.7214893	0.5029055	0.9999574	1.0000000	0.6881294	0.4267063	0.8694257	0.5103696	0.4282646
