YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C
0.1090434	0.9919880	0.2613081	0.4220933	0.1046841	0.3668227	0.2210477	0.6447460	0.8986998	1.0446581
0.6076421	0.5331054	0.2125346	0.3715704	0.1857619	0.3647776	0.2315612	0.5198586	0.9026018	0.9988771
0.2370463	0.9615967	0.1588046	0.3868651	0.0471635	0.4091634	0.2563113	0.6773463	1.0265244	1.0602739
0.2497761	1.0724437	0.5280913	0.2040538	0.0661752	0.3604309	0.2838546	0.6355723	0.9705899	1.0028300
0.2143018	1.0532864	0.2427832	0.4871808	0.0447545	0.4156491	0.2421574	0.5695066	0.9618405	0.9762965
0.2324944	1.0797732	0.4900996	0.2763345	0.0254490	0.2542774	0.2256164	0.6050657	0.9719197	1.0504122
0.2042163	0.9650126	0.1420429	0.6482204	0.2666719	0.7974980	0.1080344	0.6357925	0.9600966	1.0864598
0.2506491	0.9957083	0.3621480	0.3040011	0.0809874	0.3346707	0.2739027	0.3605938	0.9290314	0.9604987
0.2186583	1.0213787	0.2156131	0.3941735	0.0722410	0.3697038	0.2668655	0.9771628	0.4797976	0.9735149
0.2403845	1.0218242	0.2419392	0.4393381	0.0965455	0.4341588	0.2636555	0.8427713	0.8563645	0.5300996
