YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C
0.0393840	0.7334125	0.0262846	0.6236651	0.5945610	0.5469338	0.5574808	0.7656848	0.7259083	0.6928331
0.0898617	0.3199117	0.0245194	0.7515868	0.6059999	0.5290020	0.6542023	0.8345003	0.4941107	0.6338723
0.0937554	0.6371197	0.0117069	0.6663558	0.6950954	0.6810136	0.5164438	0.7005484	0.5652937	0.6179598
0.0870821	0.6399112	0.0372930	0.2923434	0.6131145	0.7181447	0.5490997	0.7923492	0.3559064	0.6240039
0.6889619	0.0413916	0.5872769	0.0242177	0.1153726	0.5856519	0.5292728	0.7357386	0.0671298	0.7496634
0.0396583	0.7068465	0.0142138	0.5757257	0.6849886	0.2607141	0.5051946	0.7906959	0.4898738	0.6767832
0.0891756	0.6940822	0.0209577	0.7014092	0.7586430	0.4320541	0.3237997	0.7206748	0.5363680	0.6253420
0.0827735	0.6797944	0.0160488	0.6430937	0.7683046	0.4416814	0.2176668	0.4984749	0.5972918	0.7764104
0.0537472	0.5825297	0.0445873	0.7313377	0.5562140	0.5971767	0.6146807	0.7291199	0.2361115	0.7125164
0.0793203	0.6612302	0.0327104	0.7970437	0.5489114	0.5847011	0.6034661	0.7573988	0.5288434	0.4165874
