YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W
0.0831885	0.4583376	0.3440869	0.0339317	0.0616979	0.2108345	0.7190859	0.6389626	0.0006741	0.7737761
0.0464077	0.3005839	0.3661840	0.0581375	0.0495166	0.2846129	0.5823353	0.7888908	0.0000871	0.7824330
0.1602404	0.4255229	0.1505258	0.0338306	0.1104357	0.2788347	0.6386331	0.8274871	0.0019663	0.8255327
0.1716165	0.3959830	0.3393112	0.0243266	0.0339013	0.2197846	0.8185735	0.7113081	0.0003851	0.7169649
0.1104478	0.4268557	0.3837654	0.0336679	0.0447675	0.3618722	0.8079339	0.7197069	0.0007908	0.7280598
0.1285031	0.3459044	0.3061943	0.0277600	0.0793882	0.1090207	0.7598763	0.8196376	0.0001443	0.8261184
0.1550683	0.4779850	0.3694953	0.0199656	0.0438163	0.5818946	0.4862326	0.7376906	0.0029296	0.7349760
0.0878359	0.2851443	0.2163465	0.0542895	0.0671623	0.3636864	0.6222118	0.3179558	0.0028187	0.7852417
0.1607459	0.3935624	0.3012347	0.0193461	0.0908717	0.2459617	0.7345088	0.8291802	0.0002096	0.6786356
0.1999383	0.4389801	0.3585091	0.0301781	0.1101583	0.2879710	0.7082736	0.5815636	0.0010529	0.3283464
