YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W
0.0000037	0.5993076	0.4534880	0.0460772	0.0935845	0.3477036	1.0000000	1.0000000	0.0003503	1.0000000
0.0754083	0.0000045	0.4534880	0.0460772	0.0935845	0.3477036	1.0000000	1.0000000	0.0003503	1.0000000
0.2299890	0.5993076	0.0000050	0.0460772	0.0935845	0.3477036	1.0000000	1.0000000	0.0003503	1.0000000
0.2299890	0.5993076	0.4260321	0.0000026	0.0935222	0.3477036	1.0000000	1.0000000	0.0003503	1.0000000
0.2299890	0.5993076	0.4534850	0.0460752	0.0000017	0.3477036	1.0000000	1.0000000	0.0003503	1.0000000
0.2299890	0.5993076	0.4534880	0.0460772	0.0935222	0.0000013	1.0000000	1.0000000	0.0003503	1.0000000
0.2299890	0.5993076	0.4534880	0.0460773	0.0937036	0.9999996	0.0000022	1.0000000	0.0003503	1.0000000
0.0754111	0.0245425	0.0311615	0.0460772	0.0935845	0.3477036	1.0000000	0.0000004	0.0003503	1.0000000
0.2299904	0.5993076	0.4534879	0.0460772	0.0935845	0.3477036	1.0000000	1.0000000	0.0000035	1.0000000
0.3229259	0.7005920	0.4534880	0.0460772	0.0935845	0.3477036	1.0000000	1.0000000	0.9999956	0.0000002
