"Time"	YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W

0	0.0965409	0.4727373	0.6385868	0.6942745	0.1701265	0.3070138	0.0278836	0.7321188	0.0527120	0.7272764
50	0.0900282	0.6286096	0.6727408	0.2782102	0.3379370	0.4005381	0.0207932	0.6606846	0.0922048	0.6880064
100	0.0929990	0.6438183	0.6525197	0.2769826	0.3768670	0.3041856	0.0291217	0.6257699	0.0742420	0.7411650
150	0.0737701	0.6440358	0.6868576	0.2031281	0.4307268	0.4311696	0.0271302	0.6392014	0.0449629	0.6057634
200	0.0836900	0.7235302	0.6346148	0.2047870	0.4388738	0.3616141	0.0423772	0.5739951	0.0420626	0.6067777
250	0.0654983	0.7152819	0.5620763	0.2159718	0.4008193	0.2973277	0.0272410	0.5659528	0.0613513	0.8209237
300	0.0924739	0.6717480	0.6217858	0.1733245	0.3907171	0.3088997	0.0369738	0.5636371	0.0615128	0.7475219
350	0.0781843	0.5275540	0.5676742	0.2630320	0.3611483	0.3173989	0.0225602	0.4666494	0.0635290	0.5783623
400	0.0718746	0.6419151	0.5919326	0.2010141	0.3758796	0.2693455	0.0235966	0.6717127	0.0546629	0.8119564
450	0.0646039	0.5416245	0.5695248	0.1772317	0.4018278	0.2760419	0.0211136	0.4137061	0.0436024	0.6950034
500	0.0712575	0.6525410	0.6994442	0.2014194	0.4243629	0.2523877	0.0389627	0.4676970	0.0520458	0.7657550
550	0.1011251	0.3570091	0.6121137	0.6485295	0.2163643	0.4101750	0.0185216	0.6299659	0.0545628	0.7551490
600	0.0744614	0.4592503	0.6389158	0.7483578	0.2100268	0.2810198	0.0417792	0.6706018	0.0635309	0.5962052
650	0.1041092	0.4921799	0.6986415	0.6690366	0.1281031	0.2867945	0.0256903	0.6630794	0.0586025	0.6957997
700	0.0951686	0.5962356	0.6907753	0.6508130	0.1760292	0.3207182	0.0169155	0.6264180	0.0428761	0.7627115
750	0.0593797	0.4127061	0.6859855	0.7590956	0.1249248	0.3746187	0.0102567	0.6010857	0.0581744	0.6280667
800	0.0773759	0.4290995	0.6770934	0.8316785	0.1416577	0.3268147	0.0236091	0.7891459	0.0432053	0.6544478
850	0.0824109	0.4814637	0.7910183	0.8064074	0.1899513	0.3487502	0.0094951	0.5275435	0.0391722	0.6467122
900	0.1317153	0.5772003	0.6060736	0.7167022	0.1989793	0.3714608	0.0202091	0.7466498	0.0594907	0.6789427
950	0.0601731	0.5206945	0.7078380	0.6914309	0.2372108	0.3195580	0.0606958	0.6396518	0.1014616	0.6623382
1000	0.1103066	0.3867285	0.6950759	0.6524290	0.1522634	0.3608629	0.0277476	0.6628864	0.0495697	0.7187860

0	0.1456274	0.4895688	0.7105585	0.6630496	0.1580888	0.3420085	0.0140129	0.5843209	0.0769740	0.6098144
50	0.1039699	0.3072142	0.6863322	0.4419188	0.1498346	0.1881047	0.0532445	0.3947375	0.0332914	0.2036171
100	0.1971913	0.3337647	0.7173727	0.4326620	0.1210995	0.1332257	0.0756585	0.2540828	0.0648812	0.0836646
150	0.4503148	0.2492050	0.7645695	0.4476218	0.0589409	0.0588059	0.1227860	0.2887629	0.0723488	0.0619035
200	0.3901337	0.1932861	0.5644327	0.3588505	0.0294964	0.0317479	0.0939386	0.2578779	0.1331044	0.1173388
250	0.4506511	0.2661479	0.6387372	0.3926471	0.0239078	0.0282025	0.1034046	0.1732141	0.1164979	0.1317984
300	0.3757419	0.1569787	0.6093169	0.3022673	0.0163860	0.0322966	0.1539267	0.1518550	0.1797216	0.0892021
350	0.3541737	0.1213903	0.4893604	0.3525858	0.0263920	0.0141516	0.1723681	0.2097379	0.1521212	0.1172576
400	0.4602790	0.2424436	0.4884877	0.3096726	0.0123488	0.0400530	0.1804198	0.2220767	0.1394977	0.1093416
450	0.3951795	0.2374676	0.4686137	0.3398952	0.0070449	0.0175943	0.1319293	0.1749575	0.1587639	0.0751874
500	0.3339050	0.2512679	0.3831244	0.3084627	0.0152619	0.0108319	0.1382278	0.1941182	0.1540371	0.1053797
550	0.4947048	0.2313614	0.4642598	0.4917338	0.0397067	0.0724604	0.1037050	0.4803369	0.1556755	0.6467790
600	0.3322620	0.3196810	0.5032006	0.5480186	0.0195419	0.0784602	0.0364400	0.4732223	0.0984860	0.6789213
650	0.2174149	0.3706944	0.7255060	0.5849090	0.0505031	0.1821550	0.0249574	0.5316337	0.0728780	0.7429153
700	0.1365681	0.4198523	0.6442888	0.6151841	0.0783839	0.2161638	0.0711030	0.5893772	0.0471965	0.6336711
750	0.1481240	0.4598914	0.6853201	0.6266984	0.0685853	0.3436069	0.0118154	0.5899442	0.0514064	0.7596739
800	0.1269108	0.3626426	0.7371842	0.6423863	0.1611223	0.2139688	0.0524822	0.6639961	0.0282685	0.8015169
850	0.0650816	0.4374553	0.6710123	0.6416187	0.0670341	0.2729364	0.0365414	0.6607998	0.0434696	0.7049797
