YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W
0.0000000	0.7212626	1.0245160	0.9853400	0.2897098	0.6306602	0.0344389	1.0285799	0.0705569	1.0621471
0.1577309	0.0000000	0.9587575	1.0185497	0.2014741	0.5450880	0.0432849	0.9736934	0.0542515	0.9275192
0.2110593	0.6660833	0.0000000	1.0176300	0.2253558	0.5644207	0.0425697	0.9551237	0.1088902	1.0530740
0.1091138	0.6564536	0.9358280	0.0000000	0.3105404	0.4769037	0.0348644	1.0092349	0.1012827	1.0634792
0.1150485	0.5912650	1.0229863	0.9964572	0.0000000	0.5257521	0.0335551	0.9947034	0.0755245	0.9739633
0.1652414	0.6057137	1.0019515	1.0099970	0.0103411	0.0000000	0.0243111	0.9375747	0.0559202	0.9779928
0.2181042	0.7196029	0.9658257	1.0386365	0.5872198	1.0094454	0.0000000	0.9964085	0.3892666	1.0373596
0.1116301	0.0889585	0.0498795	0.0468002	0.0346399	0.1146572	1.0473459	0.0000000	0.0460046	1.0200767
0.1615978	0.6057652	1.0745153	1.0336664	0.1965192	0.4464172	0.0491041	0.7349733	0.0000000	1.0287406
1.0041304	0.6060406	0.9833075	1.0141586	0.1629370	0.3863516	0.0569756	0.6814935	0.4062536	0.0000000
