YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C
0.5166003	0.6133696	0.3358959	0.5040885	0.0858289	0.2832692	0.6131889	0.2320991	0.5542745	0.6610520
0.3630731	0.7775587	0.4950287	0.3378572	0.4167790	0.2629744	0.3581130	0.2481549	0.5483818	0.8402804
0.3825814	0.7007847	0.3243692	0.5742071	0.2051482	0.0435252	0.4701058	0.2443347	0.4436865	0.7323112
0.5354854	0.2074868	0.5372822	0.6726772	0.2662826	0.3823989	0.4821990	0.3123868	0.3623174	0.6450295
0.3865140	0.8989041	0.4268039	0.5887151	0.2306374	0.4617562	0.4114675	0.3938756	0.2740738	0.3699962
0.3141610	0.8114152	0.2695657	0.7075127	0.1231496	0.4984903	0.4793783	0.2806916	0.4711705	0.7188333
0.4111912	0.9513785	0.3259904	0.6069695	0.2498504	0.3618609	0.5442333	0.2160248	0.5230022	0.6582659
0.3596702	0.7259738	0.1343179	0.5511038	0.1653274	0.3655551	0.4460741	0.2100216	0.3264572	0.4649684
0.2056356	0.5809105	0.4655988	0.4060318	0.3919151	0.5711653	0.2148385	0.3104323	0.3521848	0.5789005
0.3707810	0.6772794	0.3742988	0.4434502	0.4981581	0.4092480	0.2865488	0.2221998	0.4417984	0.7203448
