"Time"	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C

0	0.4666248	1.0089467	0.3606249	0.7593312	0.2736508	0.5374011	0.6234714	0.3691223	0.6401125	0.9756296
50	0.1745162	1.0698505	0.4629382	0.6918902	0.2657631	0.1865734	0.2674079	0.3999052	0.5143832	0.8043066
100	0.1712550	1.0100339	0.4091705	0.7132606	0.1382233	0.0782490	0.1177570	0.4255324	0.4929636	0.7385240
150	0.1887149	0.9520592	0.4538157	0.8527799	0.0689237	0.0369733	0.1030191	0.2961842	0.4211171	0.7525295
200	0.2364290	0.9815747	0.3718462	0.9786168	0.0270061	0.0261702	0.1570486	0.2944479	0.3839063	0.7116630
250	0.1830101	0.9945593	0.3523371	0.9616506	0.0231482	0.0211044	0.1430148	0.3772739	0.3859305	0.6919154
300	0.1794391	1.0344627	0.3276036	1.0321648	0.0149891	0.0119370	0.0998462	0.4132235	0.3705350	0.6821197
350	0.1521239	1.0883207	0.3021483	1.0762676	0.0165685	0.0112334	0.1134734	0.5232018	0.3622047	0.6810980
400	0.1568241	1.0135353	0.3101633	1.0431440	0.0215705	0.0179285	0.1055770	0.4495488	0.3175007	0.6731595
450	0.1664443	0.9633322	0.2521024	1.0889594	0.0280354	0.0140724	0.0717978	0.5228659	0.3977049	0.7547283
500	0.2247240	1.0512495	0.2565883	1.0841144	0.0230416	0.0050305	0.0998785	0.4065760	0.3501349	0.7188888
550	0.4837510	0.9997705	0.2129504	0.9937057	0.0631280	0.4324759	0.5559429	0.4768070	0.4240899	0.8410840
600	0.5405609	0.9390119	0.2301960	0.9803807	0.2220829	0.5615339	0.6943154	0.4578617	0.4684046	0.8971924
650	0.5034935	0.9815163	0.2564649	1.0221757	0.2718671	0.5891172	0.5827886	0.3971763	0.5256078	0.9643542
700	0.5202893	0.9800715	0.2898534	0.9247680	0.3013726	0.4676164	0.6172694	0.3891089	0.5597786	0.9747244
750	0.5627127	0.9442851	0.3591361	0.8607982	0.2855543	0.4572440	0.6179127	0.3117250	0.5972781	0.9991046
800	0.5705100	1.0212144	0.3659596	0.8213566	0.2592060	0.4471972	0.5832881	0.3753424	0.5653014	1.0395018
850	0.4929079	1.0482991	0.3137651	0.7704120	0.2557168	0.5083861	0.5463178	0.3521854	0.5926684	0.9639723
900	0.4456297	0.9349624	0.3478368	0.7674437	0.3057439	0.4968773	0.5244316	0.3826406	0.5380661	0.9727018
950	0.4663270	0.9373825	0.4569656	0.7328032	0.2513519	0.4845793	0.5578019	0.3569195	0.5713378	1.0268332
1000	0.4892101	0.9915697	0.4228969	0.7442549	0.3471231	0.5612239	0.5777773	0.3197834	0.6081650	0.9747709

0	0.4666248	1.0089467	0.3606249	0.7593312	0.2736508	0.5374011	0.6234714	0.3691223	0.6401125	0.9756296
50	0.5875074	0.4971107	0.2294233	0.7207056	0.5460549	0.5335010	0.6695027	0.2937123	0.7460389	1.0670701
100	0.8738993	0.2523239	0.2004808	0.5310066	0.7013233	0.4690834	0.5591090	0.3131473	0.8964131	1.0427358
150	0.9451387	0.2006675	0.2872553	0.3914952	0.7390972	0.5495320	0.5338895	0.2902065	0.9214923	1.0825122
200	0.9871429	0.1498609	0.3706137	0.3336116	0.8591970	0.5298426	0.5577676	0.2500258	0.9844828	1.0926758
250	1.0398465	0.1910666	0.3395120	0.3106592	0.8307051	0.4687573	0.5387979	0.2292760	0.9545466	1.0255748
300	0.9790800	0.1797936	0.3804432	0.2882539	0.8460017	0.4990261	0.5624034	0.2268086	1.0371808	1.0568509
350	0.9385239	0.1780376	0.3971543	0.2710372	0.6865156	0.5082563	0.5603747	0.2552399	0.8875388	1.0881673
400	1.0750200	0.1807737	0.3345892	0.3326682	0.7383832	0.5100865	0.5051525	0.3174521	0.8898738	1.0477323
450	1.0523492	0.1934300	0.3634984	0.3106006	0.7582261	0.4738013	0.4786747	0.2632819	0.9559319	1.0100637
500	1.0211691	0.1804155	0.3793277	0.3871647	0.7495011	0.4118966	0.4423317	0.2512744	0.9385074	0.9323452
550	0.9435863	0.7064826	0.7224231	0.4796073	0.3746044	0.4409470	0.4980054	0.2341713	0.7903664	0.9721501
600	0.7951363	0.8753656	0.7716482	0.6390673	0.2724840	0.5096270	0.5289761	0.3171916	0.7359908	0.9565071
650	0.7322203	0.9837566	0.6559569	0.7218416	0.2604125	0.4489269	0.5116206	0.2661555	0.6958443	0.9958401
700	0.5724194	0.9992344	0.5327411	0.7528807	0.2155219	0.4579205	0.5387842	0.3512467	0.5522841	1.0549073
750	0.4674505	1.0034298	0.4235364	0.8481898	0.2542519	0.5109224	0.6266260	0.3801839	0.5932820	0.9991915
800	0.4980569	1.0366935	0.3833434	0.7471939	0.2787437	0.4627743	0.6220043	0.3662019	0.5321763	0.9467013
850	0.4910604	0.9372856	0.4375408	0.7251499	0.2964697	0.5095463	0.6555515	0.4288937	0.5615967	1.0001949
900	0.5476026	0.9589242	0.4108980	0.7022978	0.3094667	0.5089007	0.6189804	0.3637728	0.6076899	1.0384379
