YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C
0.2145825	0.9737424	0.4909713	0.6329632	0.3329261	0.6254174	0.6564307	0.3664661	0.5894979	0.9963751
0.9290108	0.5494394	0.5286069	0.7864100	0.2622310	0.4385498	0.6242936	0.3950314	0.6022285	1.0565597
0.6322904	0.9661842	0.2828484	0.7108463	0.2889300	0.4809977	0.6824493	0.2871830	0.6580910	1.0003693
0.5596582	0.9761677	0.6849711	0.3857245	0.2962387	0.4563480	0.6620999	0.3379542	0.5923894	0.9625252
0.5109445	1.0896454	0.3344415	1.0301060	0.1435498	0.3922692	0.7451993	0.2785538	0.6936464	1.0459532
0.4486143	1.0203788	0.3007973	0.9664295	0.1609985	0.2084214	0.7318109	0.3879210	0.5246787	0.9098113
0.5090086	1.0713362	0.3656626	0.7966231	0.3534395	0.5990387	0.2965345	0.2911463	0.7578116	1.0195906
0.5476772	0.9418530	0.4255356	0.8192883	0.1894914	0.4290044	0.7670127	0.1741248	0.5350354	1.0262642
0.4854852	1.0749886	0.5441952	0.7654037	0.3480907	0.5696271	0.4507539	0.5176089	0.2872275	1.0194381
0.5719723	0.9854347	0.5048737	0.7622989	0.3219037	0.5709941	0.4973129	0.3850317	0.5231398	0.5999308
