YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C
0.6389677	0.8501443	0.4598387	0.8047094	0.1395030	0.3709718	0.8823621	0.2809102	0.7917942	1.0130299
0.5083698	0.9820124	0.5303275	0.5007415	0.5586321	0.4609817	0.5078728	0.2393929	0.5816862	1.0759926
0.5846125	0.9535106	0.4073612	0.8763307	0.3467541	0.0407730	0.7118976	0.3684180	0.4946593	0.9457018
0.7180533	0.2413910	0.6747652	0.9102841	0.1797532	0.4158991	0.6688993	0.3949438	0.5457411	0.8252776
0.5367585	1.0133697	0.5183861	0.7671250	0.3114559	0.5430606	0.5402402	0.4343827	0.3498735	0.4756714
0.3726141	0.9341196	0.4483590	0.8633785	0.2106323	0.4596552	0.7171676	0.3912298	0.5614005	0.8991896
0.4835809	0.9196570	0.3499535	0.9329376	0.2998927	0.5761741	0.5873645	0.3036015	0.6435207	0.9090072
0.4524137	1.0421991	0.1526440	0.7364177	0.2579067	0.5327200	0.6960489	0.3087039	0.4216467	0.5862679
0.1870317	0.7864139	0.5902721	0.5847413	0.4559810	0.7790087	0.2827986	0.3233272	0.5885536	0.7317234
0.5292427	0.8331822	0.6649432	0.6621803	0.5568189	0.5415724	0.3381163	0.2913222	0.5328960	0.8744543
