YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C
0.0000000	1.0000000	0.5549126	0.6023955	0.5477273	0.9456474	0.5059005	0.3110293	0.6701298	1.0000000
1.0000000	0.0000000	0.5777240	0.9120857	0.2262882	0.4204111	0.6476569	0.3385514	0.5845997	1.0000000
0.4878955	1.0000000	0.0000005	0.7382172	0.2828878	0.5006958	0.6153666	0.3323613	0.6024129	1.0000000
0.4878955	1.0000000	0.6396275	0.0000021	0.2828796	0.5006880	0.6153746	0.3323626	0.6024101	1.0000000
0.4878955	1.0000000	0.2751762	0.9999880	0.0000000	0.3807885	0.8245775	0.3419651	0.5749052	1.0000000
0.4878955	1.0000000	0.2751780	0.9999873	0.0191728	0.0000020	0.7664106	0.3974727	0.4465525	1.0000000
0.4878955	1.0000000	0.5048295	0.6792104	0.3436518	0.5890962	0.0000004	0.3266222	0.6196046	1.0000000
0.4878955	1.0000000	0.3147130	0.9321099	0.2087854	0.3955456	0.8015881	0.0000000	0.5785987	1.0000000
0.4878955	1.0000000	0.5020972	0.6823967	0.3405629	0.5845948	0.2812578	0.9999969	0.0000004	1.0000000
0.4878955	1.0000000	0.4863944	0.7029748	0.3243127	0.5605736	0.4503108	0.5696668	0.2192656	0.0000003
