YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W
0.1222736	0.6568553	0.5265496	0.1374920	0.2993316	0.5223261	0.4110434	0.5871078	0.3441282	0.7145806
0.2750651	0.4006365	0.5880786	0.1240115	0.2923328	0.5326508	0.5014746	0.6646727	0.3365261	0.7086741
0.3954215	0.7248533	0.2989510	0.1624696	0.2358882	0.4992377	0.3660606	0.6974918	0.3194550	0.7493784
0.2669070	0.7166254	0.3616853	0.0638913	0.2405354	0.4337186	0.3689685	0.6739847	0.3357954	0.7049266
0.2077289	0.6914180	0.7049326	0.4321451	0.1191483	0.5030760	0.3310864	0.7045292	0.4363147	0.6636318
0.3399015	0.6921307	0.7840351	0.4356018	0.1225230	0.2685359	0.4597655	0.4686878	0.1977894	0.8412257
0.2143756	0.9081983	0.8689275	0.4085023	0.1616754	0.3383318	0.2585293	0.5242754	0.2119814	0.7821664
0.2115006	0.7903103	0.3818162	0.0931803	0.3192579	0.5742210	0.4411491	0.3582947	0.3106919	0.6246064
0.3173132	0.8381359	0.5668650	0.1527249	0.4967599	0.4457863	0.4524230	0.6641774	0.2285431	0.6911762
0.2377243	0.7825570	0.5789469	0.2287531	0.3282983	0.4834785	0.3407992	0.6111646	0.3274862	0.4224790
