YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W
0.4965218	0.8301595	0.8072762	0.3556845	0.2947663	0.4333571	0.3575725	0.5177322	0.2473689	1.0157989
0.6340110	1.0070560	0.3754772	0.0795909	0.6526737	0.7421350	0.5244968	0.9163495	0.5256445	0.7382654
0.0927014	0.9053208	0.6788192	0.2588950	0.3588988	0.6831751	0.4089860	1.0809794	0.4736328	0.7959069
0.0271989	1.0524175	0.7028022	0.2823873	0.3689014	0.6765398	0.5576719	0.9705183	0.6885825	0.9929925
0.5286186	0.9597519	0.7669325	0.2553166	0.3432110	0.6508805	0.5332834	0.8140866	0.4135875	0.5534937
0.4900532	1.0660692	0.4461068	0.0564546	0.6625166	0.6004916	0.5262053	0.7339808	0.5275783	1.0607776
0.3610548	1.0708225	0.6264060	0.1162935	0.5746677	0.7334247	0.5435228	0.7889978	0.6383816	1.0265295
0.4340011	0.9245731	0.3547218	0.0702484	0.6714202	0.6897046	0.5481896	0.9507939	0.6349643	0.9903992
0.0851141	0.9796280	0.8718189	0.2388189	0.4736420	0.6618666	0.4862608	1.0053578	0.5374471	0.7889466
0.2690018	0.9519100	0.5299550	0.1321572	0.4999947	0.6346871	0.6091380	0.9048209	0.4636889	0.6026370
