YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C
0.0000000	0.2855850	0.6991800	0.7139480	0.5543947	0.0266502	0.5249525	0.8288800	0.4746196	0.7744984
0.7247233	0.0000000	0.0986462	0.1580695	0.1490434	0.5755247	0.4000735	0.6550287	0.5120752	0.7243526
0.3015014	0.6176715	0.0000000	0.2002052	0.2059904	0.1644048	0.4925452	0.7228550	0.7424474	0.9059403
0.3339850	0.5291385	0.0429602	0.0000000	0.1740630	0.1451251	0.5055395	0.8832313	0.5587913	0.8394324
0.4030330	0.5147850	0.1049489	0.0976002	0.0000000	0.1753476	0.5078084	0.8546584	0.7781130	0.7806188
0.3544696	0.5508802	0.0534364	0.2166718	0.1927036	0.0000000	0.5791105	0.9194293	0.6616361	0.8505275
0.4108107	0.5212780	0.0619248	0.1923911	0.1633171	0.2608840	0.0000000	0.6091215	0.7077085	0.6773480
0.3782343	0.6023075	0.0744438	0.1444465	0.1283284	0.0298734	0.0671627	0.0000000	0.6324003	0.6797979
0.3945644	0.4337527	0.8315461	0.9259344	0.7825419	0.0590799	0.4064444	0.6089680	0.0000000	0.8599244
0.3365160	0.5409931	0.0442653	0.1288514	0.1242561	0.1856515	0.5831011	0.7653350	0.5865506	0.0000000
