YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C
0.0000000	0.3045476	0.8787284	0.9190826	0.6929727	0.0000000	0.7276062	0.9969784	0.4573523	1.0826218
0.0000000	0.0000000	0.8986131	0.9322530	0.6885575	0.0372997	0.6907639	1.0126142	0.5677802	1.0412255
0.0000000	0.6162679	0.0000000	0.9280066	0.4759833	0.0297335	0.6678539	1.0039807	0.5529009	1.0303683
0.0000000	0.2915151	0.8945427	0.9121285	0.5211426	0.0480490	0.0706766	0.0000000	0.5532126	1.0036460
0.0000000	0.3142191	0.9684960	0.9937238	0.9729432	0.0511840	0.6704051	1.0406761	0.0000000	1.1015072
0.0000000	0.3333017	0.8245075	0.8735275	0.6304285	0.0318081	0.6431732	0.9811383	0.5521112	0.0000000
1.0434515	0.0000000	0.1079236	0.1228980	0.1348408	0.0000000	0.7364902	1.0975455	0.9223994	0.9610580
1.0422084	0.0000000	0.1018693	0.1993253	0.2118904	0.7130498	0.5946078	0.7844960	0.7781702	0.0000000
0.5639150	0.6317755	0.9419268	0.9884539	1.0236981	0.0000000	0.6575005	1.0331036	0.0000000	0.9948120
0.3695334	0.7597129	0.0691261	0.1232043	0.1471400	0.0000000	0.6664726	1.0551225	0.8710867	0.0000000
