YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C
0.3416813	0.5708111	0.2157300	0.3714855	0.2635433	0.1772562	0.6597080	0.9528469	0.7400976	1.0000000
0.7653725	0.4795147	0.0851859	0.1515791	0.1756736	0.6184817	0.6317126	0.8617020	0.8879205	1.0000000
0.4413697	0.7002912	0.0431943	0.2034710	0.2042722	0.2437445	0.6465844	0.9050147	0.8361556	1.0000000
0.4435716	0.6985682	0.0849271	0.1004485	0.2029473	0.2456154	0.6461822	0.9038372	0.8382777	1.0000000
0.4435688	0.6985824	0.0849078	0.0865022	0.1014791	0.2456325	0.6461846	0.9038342	0.8382875	1.0000000
0.4436564	0.6985034	0.0862374	0.1989347	0.2019666	0.1439147	0.6649525	0.9623643	0.8398838	1.0000000
0.4436534	0.6985233	0.0862928	0.2007621	0.2028988	0.2457304	0.3231290	0.9037782	0.8383893	1.0000000
0.4436603	0.6985081	0.0862304	0.1987726	0.2018935	0.0633805	0.4578938	0.4979570	0.8400144	1.0000000
0.5505194	0.6220332	0.9225457	0.9651741	0.7388887	0.2653079	0.5952515	0.7659711	0.4590461	1.0000000
0.4436247	0.6985334	0.0857873	0.1846213	0.1947600	0.2465253	0.6465762	0.9050152	0.8519667	0.5000032
