YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W	YOR028C	YPL248C
0.0000000	0.0306296	0.4980967	0.7392879	0.6861871	0.7209230	0.7607876	0.7777885	0.8572942	0.6765726
0.8310130	0.0010443	0.4545890	0.7830569	0.7766597	0.6196987	0.7167387	0.6909751	0.8432688	0.8977512
0.6862670	0.0454277	0.0000000	0.8363171	0.8297824	0.7497816	0.7023957	0.7984811	0.7114310	0.7417700
0.7329912	0.0252387	0.0064534	0.0000000	0.7135633	0.7055228	0.8288803	0.7749197	0.5972828	0.7097888
0.4652475	0.4058113	0.3144098	0.6942782	0.0000000	0.7646695	0.6031874	0.7967197	0.7972055	0.7598051
0.3416923	0.4706404	0.3828389	0.6825374	0.6669063	0.0000000	0.7837933	0.8007320	0.6974134	0.7378541
0.4709285	0.3764501	0.4716923	0.8337747	0.8210107	0.0002101	0.0000000	0.8156177	0.7975943	0.6752864
0.2828815	0.5738140	0.3563685	0.8282005	0.6479441	0.6900175	0.7712043	0.0000000	0.8107703	0.7886806
0.3420043	0.5073527	0.4084580	0.7848193	0.8062818	0.7799565	0.7306727	0.8559827	0.0000000	0.8626384
0.5433196	0.5168996	0.4293538	0.8145774	0.7946799	0.8180069	0.9039054	0.7706926	0.6891971	0.0000000
