YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C
0.2590726	0.3610280	0.5355421	0.4134353	0.7441575	0.1840184	0.0603316	0.0772239	0.7336863	0.9223593
0.4548683	0.2356069	0.5123314	0.4131816	0.6783054	0.2623209	0.0698507	0.0730397	0.6820023	0.7958299
0.7048579	0.3553933	0.3150999	0.3374097	0.5669086	0.0769715	0.0596487	0.0715059	0.7322316	0.5338531
0.7808022	0.5815847	0.6518322	0.1771874	0.6296497	0.2758931	0.0337747	0.1014326	0.7559442	0.7146343
0.6869778	0.6658454	0.7428145	0.1711529	0.4157968	0.3165895	0.0472588	0.0630014	0.9546733	0.8462573
0.6356052	0.4673050	0.5904513	0.3025706	0.5149830	0.1652687	0.0601385	0.0786607	0.7744917	0.7341539
0.5369869	0.4449950	0.4621421	0.2622009	0.6059640	0.2387165	0.0148746	0.0860939	0.7561774	0.9310785
0.5298126	0.4290517	0.4471280	0.3694332	0.5218147	0.2460313	0.0298318	0.0287886	0.5925557	0.7591239
0.5281614	0.4510635	0.5921218	0.3185171	0.7164549	0.2951634	0.0740091	0.2809093	0.3370310	0.7605172
0.4001788	0.4340710	0.5605056	0.6807317	0.6340635	0.2097942	0.0811759	0.1127540	0.7869986	0.4050777
