YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C
0.6323734	0.5798896	0.6776054	0.7083591	0.9025885	0.2679565	0.0912740	0.0754157	0.9878857	0.9673695
0.2713362	0.7207422	0.6997416	0.6368482	0.6843653	0.2384051	0.0750095	0.1197306	1.0096258	0.6184162
0.7113435	0.6212336	0.8065127	0.4446512	0.7157982	0.2571943	0.0006243	0.1200402	1.0306809	1.0566422
0.1987557	0.7998899	0.5834001	0.7467172	0.9967791	0.5320809	0.0029632	0.1464155	0.9621229	0.7569172
0.9532802	0.4805930	0.8464121	0.3294301	0.7003719	0.2544042	0.0060217	0.1189008	1.1043028	1.0490281
0.5985365	0.5040885	0.5832003	0.5168199	0.8511325	0.4761817	0.1066702	0.0805853	1.1536056	0.9832119
0.1537062	0.5658811	0.2826037	0.6247456	0.9916675	0.5782278	0.0056593	0.1508275	0.5410425	1.0983218
0.1379939	0.3439656	0.5792149	0.7077666	0.8936180	0.5723241	0.2489878	0.1225397	1.0930529	1.0730144
0.3946870	0.5707330	0.5850215	0.6062278	0.9545075	0.4754044	0.4363971	0.1326139	1.0220496	1.0335696
0.5512486	0.4072055	0.6990668	0.5691501	0.9212626	0.2310925	0.0054734	0.1085592	0.9177434	0.7957560
