"Time"	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C

0	0.7038835	0.5447464	0.7036422	0.5612501	0.8426085	0.2978781	0.0631100	0.1213815	1.0000000	0.9848532
50	0.7033755	0.5448261	0.7034495	0.5622276	0.8528227	0.3908350	0.0631100	0.1213815	1.0000000	0.9872145
100	0.6997052	0.5447933	0.7020597	0.5695741	0.8742365	0.4195151	0.0631100	0.1213815	1.0000000	0.9914990
150	0.6859463	0.5443897	0.6968776	0.5828377	0.8894354	0.4280885	0.0631100	0.1213815	1.0000000	0.9942321
200	0.6631806	0.5430977	0.6883750	0.5955006	0.8973112	0.4298859	0.0631100	0.1213815	1.0000000	0.9955913
250	0.6394225	0.5407682	0.6795561	0.6043098	0.9007421	0.4290405	0.0631100	0.1213815	1.0000000	0.9961949
300	0.6207016	0.5378450	0.6726102	0.6093513	0.9019001	0.4271893	0.0631100	0.1213815	1.0000000	0.9964283
350	0.6085256	0.5349771	0.6680697	0.6117916	0.9019907	0.4252080	0.0631100	0.1213815	1.0000000	0.9964889
400	0.6017556	0.5326252	0.6655186	0.6127170	0.9016448	0.4235514	0.0631100	0.1213815	1.0000000	0.9964745
450	0.5985955	0.5309502	0.6643049	0.6128664	0.9011887	0.4223692	0.0631100	0.1213815	1.0000000	0.9964343
500	0.5975220	0.5298961	0.6638722	0.6126803	0.9007782	0.4216283	0.0631100	0.1213815	1.0000000	0.9963919
550	0.5975405	0.5293123	0.6638529	0.6120347	0.8946409	0.3283176	0.0631100	0.1213815	1.0000000	0.9957407
600	0.5997823	0.5290570	0.6646256	0.6074363	0.8769182	0.2994367	0.0631100	0.1213815	1.0000000	0.9931966
650	0.6094963	0.5291841	0.6680452	0.5967586	0.8589456	0.2906678	0.0631100	0.1213815	1.0000000	0.9896156
700	0.6288631	0.5300520	0.6749858	0.5835358	0.8469192	0.2885678	0.0631100	0.1213815	1.0000000	0.9865204
750	0.6530786	0.5319492	0.6838723	0.5721039	0.8407354	0.2891081	0.0631100	0.1213815	1.0000000	0.9845906
800	0.6753739	0.5346998	0.6922821	0.5643891	0.8384060	0.2908438	0.0631100	0.1213815	1.0000000	0.9837131
