YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C
0.3149806	0.4952096	0.4769932	0.5091628	0.6672798	0.2029315	0.0439293	0.1317246	0.7162489	0.7583012
0.4934182	0.1362365	0.4710590	0.4630574	0.7070429	0.2007318	0.0307028	0.0906409	0.7687763	0.6648191
0.8479494	0.2891446	0.2915077	0.3418548	0.5131541	0.1108587	0.0410155	0.1005512	0.9000688	0.5131667
0.8233515	0.6098217	0.7329874	0.2003953	0.6569536	0.3120272	0.0585004	0.0594682	0.7582315	0.7289214
0.7551896	0.5570327	0.8253695	0.1597387	0.4317628	0.3156531	0.0459097	0.0611703	0.9610280	0.6807641
0.6227658	0.4406117	0.6276916	0.3552628	0.5390843	0.1258598	0.0652455	0.1344473	0.8030415	0.6729644
0.6568701	0.4379451	0.4991833	0.4830276	0.6458652	0.2576551	0.0200199	0.0992623	0.6297799	0.8062194
0.4183320	0.4797732	0.5601807	0.4258770	0.7311896	0.1641747	0.0486788	0.0439367	0.6944881	0.7916160
0.3952950	0.3643800	0.5795621	0.3945320	0.7325004	0.2134302	0.0769580	0.2399330	0.4567335	0.7416261
0.4207191	0.3632156	0.5540167	0.4879671	0.6727741	0.1900789	0.0323831	0.0952184	0.7808785	0.3311731
