YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C
0.1519269	0.2949012	0.5808582	0.7142428	0.0723549	0.2062237	0.7164680	0.2614756	0.1862024	0.7642919
0.5024640	0.1654907	0.4442213	0.7879676	0.0662198	0.1598033	0.7561579	0.0770880	0.1930983	0.8017389
0.2482202	0.5774899	0.3002254	0.6815531	0.0612012	0.2124210	0.7117036	0.2450458	0.2982483	0.6957264
0.2568204	0.3253339	0.5339813	0.3360725	0.0748902	0.1623752	0.6871743	0.2395887	0.1928908	0.8443170
0.2610497	0.3078375	0.3863232	0.7530226	0.0234979	0.2087921	0.7319914	0.1256104	0.1656640	0.8468433
0.2904160	0.3455706	0.5308553	0.7033917	0.0204128	0.1176458	0.7523095	0.2271772	0.0815229	0.7192530
0.3003469	0.3761147	0.5441784	0.6608626	0.1198196	0.2844987	0.3434945	0.2486942	0.3883797	0.6676423
0.2527824	0.2784444	0.5862185	0.8537981	0.0203909	0.1563652	0.7793502	0.0757240	0.1963453	0.7735611
0.4018381	0.2308151	0.5325181	0.7126903	0.0437197	0.1214293	0.7937861	0.1602018	0.0568226	0.8374301
0.3356277	0.3759793	0.4939888	0.9005513	0.0715807	0.2237586	0.6741015	0.1787426	0.2730286	0.3969914
