YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C
0.0000000	0.3290278	0.5136094	0.7940425	0.0304300	0.1739618	0.6318995	0.3716624	0.1232624	0.6723648
0.9810637	0.0000000	0.5294173	0.8374674	0.0495319	0.1056309	0.9110802	0.0092724	0.1135893	0.7639217
0.1917956	0.6122388	0.0000000	0.6775838	0.0601046	0.2472194	0.7114332	0.2431196	0.1822330	0.7269129
0.1833982	0.8045459	0.0385282	0.0000000	0.0851515	0.2629454	0.6487470	0.2353424	0.3009800	0.6895434
0.3515086	0.3057428	0.5738126	0.9970883	0.0000000	0.1564930	0.5513510	0.1072483	0.0210402	0.8028000
0.2851191	0.4135131	0.4992097	0.7422804	0.0094097	0.0000000	0.7697236	0.1991123	0.0971401	0.8789064
0.3852348	0.2811610	0.6216627	0.6351607	0.3614305	0.6198691	0.0000000	0.1865888	0.3473951	0.7488438
0.3641711	0.2750144	0.4209424	0.7742728	0.0446429	0.1468163	0.7643031	0.0000000	0.1634774	0.6614996
0.2611292	0.3844002	0.4103808	0.6681993	0.0349213	0.1801710	0.7082200	0.2475954	0.0000000	0.7921317
0.2716157	0.3108720	0.5742629	0.6950111	0.0501507	0.1743478	0.7723286	0.3688621	0.5184066	0.0000000
