YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C
0.2162381	0.5274094	0.7385059	1.0318064	0.0791907	0.2542822	1.0402588	0.3062706	0.2187440	1.0043255
0.5715353	0.2266037	0.6845444	0.9923295	0.0961938	0.2303643	0.9790917	0.0750189	0.2778499	0.9597668
0.3129574	0.6483604	0.3891339	1.0401441	0.0903852	0.3532559	1.0203890	0.2253834	0.3325233	1.0907604
0.3265032	0.4476204	0.7066652	0.4709262	0.0787365	0.2592504	1.0878174	0.2344386	0.2530833	1.0229709
0.4477366	0.4690826	0.7250663	1.0106814	0.0352479	0.2646718	1.0229970	0.1610160	0.2420200	0.9679972
0.3979564	0.4893795	0.7042143	1.0604318	0.0315118	0.1148953	0.8693005	0.3124560	0.1285016	0.9027275
0.3878412	0.5147862	0.7008086	0.9440604	0.1571282	0.3276606	0.4764891	0.2553653	0.4201232	0.9336835
0.3581767	0.5009175	0.6506570	1.0281227	0.0628006	0.2251298	1.0270601	0.1212858	0.2273751	1.0648205
0.4746155	0.4136344	0.7760902	0.9940936	0.0500350	0.1469884	1.0286656	0.2746034	0.0923188	1.0144217
0.4044035	0.4501352	0.6755930	1.0189281	0.0743998	0.3245658	1.0154069	0.2326836	0.3861768	0.5130215
