"Time"	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C

0	0.3813870	0.4764500	0.6967198	0.9998559	0.0603500	0.2246295	0.9937601	0.2209559	0.2391829	1.0000000
50	0.3813149	0.4765784	0.6945970	0.9998570	0.0564306	0.1382251	0.6700736	0.2211271	0.2386531	1.0000000
100	0.3811963	0.4771834	0.6919557	0.9998797	0.0402989	0.0791206	0.3366334	0.2212545	0.2265364	1.0000000
150	0.3808906	0.4780553	0.6903027	0.9999246	0.0262030	0.1224778	0.1672867	0.2213706	0.1923714	1.0000000
200	0.3804232	0.4788173	0.6894469	0.9999609	0.0256286	0.2058959	0.0957627	0.2215307	0.1548593	1.0000000
250	0.3799332	0.4793345	0.6890455	0.9999767	0.0406813	0.2596102	0.0679973	0.2217651	0.1466384	1.0000000
300	0.3795300	0.4796358	0.6888730	0.9999597	0.0617220	0.2839319	0.0577139	0.2220566	0.1767564	1.0000000
350	0.3792484	0.4797930	0.6888090	0.9998821	0.0792880	0.2934381	0.0540140	0.2223606	0.2225019	1.0000000
400	0.3790743	0.4798672	0.6887942	0.9997392	0.0905898	0.2969023	0.0527074	0.2226349	0.2620229	1.0000000
450	0.3789767	0.4798977	0.6887999	0.9995704	0.0968029	0.2981192	0.0522514	0.2228557	0.2885878	1.0000000
500	0.3789270	0.4799068	0.6888125	0.9994213	0.0998816	0.2985367	0.0520932	0.2230179	0.3041091	1.0000000
550	0.3789083	0.4798008	0.6909489	0.9992922	0.1180603	0.5025682	0.3756428	0.2231281	0.3139080	1.0000000
600	0.3789824	0.4791960	0.6936089	0.9985740	0.1804343	0.4619223	0.7089793	0.2231946	0.3398849	1.0000000
650	0.3792682	0.4783181	0.6952792	0.9962979	0.1963090	0.3415484	0.8782732	0.2232036	0.3759173	1.0000000
700	0.3797291	0.4775511	0.6961488	0.9948063	0.1624818	0.2728174	0.9497750	0.2231196	0.3922979	1.0000000
750	0.3802196	0.4770304	0.6965599	0.9955738	0.1214779	0.2430477	0.9775368	0.2229287	0.3826863	1.0000000
800	0.3806264	0.4767265	0.6967387	0.9971603	0.0923399	0.2314213	0.9878300	0.2226604	0.3543230	1.0000000
850	0.3809121	0.4765672	0.6968066	0.9984208	0.0757149	0.2270877	0.9915493	0.2223677	0.3193437	1.0000000
900	0.3810897	0.4764914	0.6968237	0.9991614	0.0673144	0.2255092	0.9928806	0.2220981	0.2884990	1.0000000
950	0.3811898	0.4764599	0.6968193	0.9995379	0.0633854	0.2249420	0.9933621	0.2218786	0.2666368	1.0000000
1000	0.3812411	0.4764500	0.6968075	0.9997149	0.0616438	0.2247407	0.9935433	0.2217163	0.2533591	1.0000000

0	0.3813870	0.4764500	0.6967198	0.9998559	0.0603500	0.2246295	0.9937601	0.2209559	0.2391829	1.0000000
50	0.3813184	0.4764786	0.6965263	0.9993389	0.2238587	0.2246709	0.9892598	0.1744759	0.2740117	1.0000000
100	0.3812752	0.4765773	0.6956590	0.9883937	0.3984595	0.2248510	0.9860630	0.1088917	0.3663420	1.0000000
150	0.3812066	0.4768338	0.6947508	0.9552394	0.4903269	0.2251203	0.9854413	0.0614981	0.4301371	1.0000000
200	0.3810722	0.4771560	0.6941664	0.9143364	0.5303228	0.2253644	0.9855318	0.0329026	0.4607590	1.0000000
250	0.3808897	0.4774294	0.6938571	0.8818545	0.5462524	0.2255356	0.9856636	0.0170312	0.4736493	1.0000000
300	0.3807071	0.4776146	0.6937084	0.8615342	0.5522828	0.2256390	0.9857363	0.0086268	0.4787767	1.0000000
350	0.3805594	0.4777234	0.6936407	0.8505259	0.5544953	0.2256959	0.9857683	0.0043052	0.4807597	1.0000000
400	0.3804566	0.4777815	0.6936110	0.8451009	0.5552914	0.2257252	0.9857810	0.0021260	0.4815137	1.0000000
450	0.3803925	0.4778106	0.6935983	0.8425988	0.5555747	0.2257396	0.9857858	0.0010419	0.4817970	1.0000000
500	0.3803557	0.4778244	0.6935929	0.8414996	0.5556751	0.2257464	0.9857875	0.0005078	0.4819024	1.0000000
550	0.3803359	0.4778308	0.6935907	0.8513517	0.3923219	0.2257203	0.9906722	0.0470625	0.4799498	1.0000000
600	0.3803258	0.4778335	0.6935943	0.8991140	0.2178423	0.2255743	0.9956507	0.1128677	0.4643149	1.0000000
650	0.3803211	0.4778309	0.6936651	0.9480589	0.1260204	0.2253896	0.9978123	0.1604378	0.4262666	1.0000000
700	0.3803220	0.4778022	0.6939393	0.9769770	0.0860291	0.2252473	0.9979423	0.1891450	0.3715247	1.0000000
750	0.3803383	0.4777097	0.6944453	0.9905517	0.0700920	0.2251468	0.9970841	0.2050791	0.3187008	1.0000000
800	0.3803874	0.4775382	0.6950545	0.9962491	0.0640509	0.2250593	0.9960135	0.2135115	0.2810783	1.0000000
850	0.3804802	0.4773138	0.6956180	0.9984977	0.0618223	0.2249704	0.9951164	0.2178315	0.2593644	1.0000000
900	0.3806100	0.4770826	0.6960563	0.9993533	0.0610021	0.2248832	0.9944920	0.2199793	0.2484609	1.0000000
950	0.3807565	0.4768815	0.6963585	0.9996715	0.0606883	0.2248068	0.9941042	0.2210035	0.2434539	1.0000000
1000	0.3808968	0.4767272	0.6965489	0.9997881	0.0605555	0.2247468	0.9938824	0.2214555	0.2412689	1.0000000

0	0.3813870	0.4764500	0.6967198	0.9998559	0.0603500	0.2246295	0.9937601	0.2209559	0.2391829	1.0000000
50	0.3974869	0.3171289	0.6967199	0.9998520	0.0563725	0.1359447	0.9937474	0.2208371	0.2386442	1.0000000
100	0.5137799	0.1698071	0.6966888	0.9998577	0.0397563	0.0569660	0.9938053	0.2129693	0.2262672	1.0000000
150	0.6978543	0.1039749	0.6963761	0.9999020	0.0235800	0.0225582	0.9944021	0.1837230	0.1903171	1.0000000
200	0.8400483	0.0797085	0.6956435	0.9999486	0.0141183	0.0099589	0.9958413	0.1416965	0.1438505	1.0000000
250	0.9173777	0.0715639	0.6948388	0.9999768	0.0096886	0.0056648	0.9974827	0.1033575	0.1055143	1.0000000
300	0.9525694	0.0689953	0.6942542	0.9999903	0.0078398	0.0042475	0.9986946	0.0754223	0.0814655	1.0000000
350	0.9670379	0.0682292	0.6939143	0.9999961	0.0071181	0.0037847	0.9993880	0.0574501	0.0687412	1.0000000
400	0.9726071	0.0680156	0.6937397	0.9999984	0.0068482	0.0036331	0.9997289	0.0467482	0.0627017	1.0000000
450	0.9746497	0.0679620	0.6936564	0.9999993	0.0067502	0.0035829	0.9998820	0.0407011	0.0600363	1.0000000
500	0.9753696	0.0679512	0.6936185	0.9999996	0.0067154	0.0035660	0.9999471	0.0374110	0.0589191	1.0000000
550	0.9495747	0.2277354	0.6936019	0.9999997	0.0071274	0.0924548	0.9999741	0.0357205	0.0585294	1.0000000
600	0.7891474	0.3754760	0.6935947	0.9999997	0.0132423	0.1716136	0.9999851	0.0365640	0.0619103	1.0000000
650	0.6034994	0.4414994	0.6935917	0.9999986	0.0266816	0.2060995	0.9999880	0.0454673	0.0819907	1.0000000
700	0.4842864	0.4658529	0.6935910	0.9999913	0.0404051	0.2187233	0.9999789	0.0679342	0.1210914	1.0000000
750	0.4243302	0.4740578	0.6935956	0.9999719	0.0500759	0.2230176	0.9999203	0.1016255	0.1633118	1.0000000
800	0.3977939	0.4766775	0.6936292	0.9999425	0.0556126	0.2244263	0.9996976	0.1374078	0.1960305	1.0000000
850	0.3869430	0.4774731	0.6937568	0.9999123	0.0583978	0.2248796	0.9991554	0.1675382	0.2168878	1.0000000
900	0.3827494	0.4776711	0.6940506	0.9998884	0.0596821	0.2250183	0.9982599	0.1892600	0.2286331	1.0000000
950	0.3812134	0.4776418	0.6945101	0.9998725	0.0602368	0.2250421	0.9971681	0.2033421	0.2347027	1.0000000
1000	0.3807068	0.4775002	0.6950502	0.9998632	0.0604598	0.2250118	0.9961081	0.2118084	0.2376406	1.0000000

0	0.3813870	0.4764500	0.6967198	0.9998559	0.0603500	0.2246295	0.9937601	0.2209559	0.2391829	1.0000000
50	0.2432842	0.4726636	0.7768168	0.9998555	0.0603254	0.2222985	0.9937158	0.2279604	0.3266204	0.9729014
100	0.1106128	0.4523191	0.8767466	0.9998550	0.0591683	0.2080661	0.9928107	0.2706145	0.3992099	0.9451505
150	0.0492037	0.4249532	0.9394542	0.9998585	0.0549300	0.1863252	0.9885048	0.3303155	0.4267020	0.9312069
200	0.0263903	0.4026578	0.9720972	0.9998743	0.0481185	0.1670679	0.9790802	0.3783140	0.4289646	0.9254068
250	0.0192134	0.3883394	0.9876464	0.9999013	0.0410354	0.1541906	0.9662294	0.4090456	0.4177014	0.9231990
300	0.0174724	0.3802997	0.9946787	0.9999301	0.0353550	0.1469713	0.9534020	0.4266969	0.4006204	0.9224006
350	0.0173351	0.3761532	0.9977531	0.9999530	0.0315099	0.1434389	0.9430150	0.4362450	0.3834557	0.9221212
400	0.0175366	0.3741356	0.9990654	0.9999684	0.0292060	0.1419260	0.9357246	0.4412227	0.3695098	0.9220257
450	0.0177288	0.3731946	0.9996158	0.9999775	0.0279547	0.1413807	0.9310939	0.4437549	0.3597346	0.9219936
500	0.0178524	0.3727696	0.9998435	0.9999826	0.0273336	0.1412409	0.9283553	0.4450212	0.3536224	0.9219830
550	0.1887645	0.3744213	0.9421022	0.9999853	0.0270795	0.1432555	0.9268441	0.4439191	0.2615969	0.9490780
600	0.3509356	0.3853378	0.8683530	0.9999866	0.0275998	0.1548116	0.9278203	0.4156161	0.1858997	0.9768278
650	0.4193327	0.4028836	0.8127329	0.9999866	0.0299846	0.1719809	0.9372347	0.3532541	0.1563674	0.9907711
700	0.4349543	0.4213763	0.7694369	0.9999843	0.0343701	0.1882594	0.9542235	0.2896276	0.1519883	0.9965710
