"Time"	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W

0	0.8686484	0.9951695	0.9714778	0.9998349	0.0604082	0.1441714	0.8908087	0.3386104	0.9999434	1.0000000
50	0.8542007	0.9980539	0.9697502	0.9998635	0.0375338	0.0578228	0.9220794	0.1197840	0.9999593	1.0000000
100	0.8265297	0.9987759	0.9693401	0.9999279	0.0201782	0.0340153	0.9689409	0.0595642	0.9999822	1.0000000
150	0.8115573	0.9989556	0.9692444	0.9999707	0.0119976	0.0262012	0.9894896	0.0433044	0.9999930	1.0000000
200	0.8060625	0.9990001	0.9692233	0.9999891	0.0090455	0.0234141	0.9960805	0.0390981	0.9999973	1.0000000
250	0.8042982	0.9990110	0.9692193	0.9999960	0.0080512	0.0224263	0.9980087	0.0380893	0.9999990	1.0000000
300	0.8037656	0.9990137	0.9692189	0.9999985	0.0077079	0.0220880	0.9985526	0.0378796	0.9999996	1.0000000
350	0.8036123	0.9990143	0.9692191	0.9999994	0.0075827	0.0219763	0.9987017	0.0378496	0.9999998	1.0000000
400	0.8035704	0.9990145	0.9692192	0.9999997	0.0075350	0.0219407	0.9987411	0.0378519	0.9999999	1.0000000
450	0.8035597	0.9990145	0.9692193	0.9999998	0.0075163	0.0219297	0.9987509	0.0378564	1.0000000	1.0000000
500	0.8035573	0.9990145	0.9692194	0.9999999	0.0075090	0.0219264	0.9987531	0.0378590	1.0000000	1.0000000
550	0.8132175	0.9961056	0.9709487	0.9999995	0.0233825	0.1069266	0.9882070	0.2631868	0.9999999	1.0000000
600	0.8395983	0.9953908	0.9713605	0.9999965	0.0336487	0.1294337	0.9482901	0.3241998	0.9999974	1.0000000
650	0.8577024	0.9952201	0.9714585	0.9999863	0.0438503	0.1371198	0.9140686	0.3386780	0.9999887	1.0000000
700	0.8655139	0.9951808	0.9714814	0.9999645	0.0511707	0.1408753	0.8975929	0.3406533	0.9999762	1.0000000
750	0.8681036	0.9951722	0.9714862	0.9999338	0.0555869	0.1428341	0.8918906	0.3400237	0.9999646	1.0000000
800	0.8687344	0.9951705	0.9714862	0.9999025	0.0580410	0.1437268	0.8905154	0.3393035	0.9999560	1.0000000
850	0.8687904	0.9951701	0.9714851	0.9998771	0.0593190	0.1440644	0.8904310	0.3388902	0.9999504	1.0000000
900	0.8687360	0.9951701	0.9714838	0.9998595	0.0599391	0.1441652	0.8905830	0.3387053	0.9999471	1.0000000
950	0.8686893	0.9951700	0.9714827	0.9998486	0.0602180	0.1441840	0.8907043	0.3386360	0.9999454	1.0000000
1000	0.8686645	0.9951700	0.9714818	0.9998426	0.0603339	0.1441817	0.8907677	0.3386144	0.9999445	1.0000000

0	0.8686484	0.9951695	0.9714778	0.9998349	0.0604082	0.1441714	0.8908087	0.3386104	0.9999434	1.0000000
50	0.6131649	0.9966624	0.9714673	0.9930660	0.4353099	0.1437888	0.9250226	0.0952951	0.9999437	1.0000000
100	0.5258761	0.9970373	0.9710043	0.9357143	0.4935974	0.1412885	0.9736067	0.0282603	0.9999444	1.0000000
150	0.4974253	0.9971255	0.9689955	0.8630835	0.5022295	0.1384819	0.9928012	0.0098839	0.9999468	1.0000000
200	0.4894465	0.9971285	0.9655586	0.8177803	0.5030322	0.1368559	0.9981863	0.0048829	0.9999502	1.0000000
250	0.4873724	0.9970977	0.9619074	0.7965432	0.5027499	0.1361539	0.9995502	0.0035340	0.9999534	1.0000000
300	0.4868475	0.9970543	0.9590216	0.7879726	0.5024675	0.1358949	0.9998855	0.0031739	0.9999556	1.0000000
350	0.4867150	0.9970126	0.9571599	0.7848551	0.5023029	0.1358080	0.9999673	0.0030790	0.9999570	1.0000000
400	0.4866810	0.9969800	0.9561205	0.7838247	0.5022216	0.1357806	0.9999872	0.0030544	0.9999578	1.0000000
450	0.4866721	0.9969582	0.9555980	0.7835220	0.5021848	0.1357724	0.9999921	0.0030481	0.9999582	1.0000000
500	0.4866695	0.9969452	0.9553554	0.7834494	0.5021690	0.1357699	0.9999933	0.0030465	0.9999584	1.0000000
550	0.7361591	0.9953258	0.9557691	0.8529678	0.1254547	0.1358169	0.9893648	0.2899886	0.9999585	1.0000000
600	0.8249352	0.9949332	0.9594994	0.9422913	0.0668007	0.1368394	0.9406879	0.3483384	0.9999584	1.0000000
650	0.8579845	0.9948930	0.9643452	0.9793969	0.0580806	0.1394656	0.9030040	0.3513776	0.9999575	1.0000000
700	0.8677712	0.9949585	0.9677790	0.9926935	0.0576223	0.1421199	0.8893840	0.3459708	0.9999552	1.0000000
750	0.8696416	0.9950357	0.9697027	0.9973595	0.0585685	0.1436618	0.8873947	0.3418943	0.9999518	1.0000000
800	0.8694841	0.9950938	0.9706672	0.9989849	0.0594779	0.1442317	0.8884795	0.3398392	0.9999486	1.0000000
850	0.8690918	0.9951299	0.9711210	0.9995467	0.0600410	0.1443315	0.8896398	0.3389925	0.9999463	1.0000000
900	0.8688379	0.9951501	0.9713258	0.9997389	0.0603070	0.1442892	0.8903204	0.3386985	0.9999449	1.0000000
950	0.8687167	0.9951605	0.9714153	0.9998038	0.0604024	0.1442351	0.8906346	0.3386161	0.9999442	1.0000000
1000	0.8686688	0.9951656	0.9714536	0.9998255	0.0604230	0.1442003	0.8907569	0.3386015	0.9999439	1.0000000

0	0.8686484	0.9951695	0.9714778	0.9998349	0.0604082	0.1441714	0.8908087	0.3386104	0.9999434	1.0000000
50	0.8626493	0.9951697	0.9714794	0.9998360	0.0603945	0.1438134	0.9228528	0.1168247	0.4520099	1.0000000
100	0.8710696	0.9951699	0.9714801	0.9998366	0.0601352	0.1414489	0.9690649	0.0735659	0.2447747	1.0000000
150	0.9013700	0.9951699	0.9714804	0.9998387	0.0592800	0.1387524	0.9877125	0.0782859	0.1663961	1.0000000
200	0.9289143	0.9951699	0.9714806	0.9998441	0.0581590	0.1371775	0.9924048	0.0869091	0.1367527	1.0000000
250	0.9453281	0.9951699	0.9714808	0.9998518	0.0572400	0.1365220	0.9927813	0.0912458	0.1255414	1.0000000
300	0.9533477	0.9951700	0.9714811	0.9998593	0.0566683	0.1363175	0.9923583	0.0927238	0.1213013	1.0000000
350	0.9568716	0.9951700	0.9714815	0.9998652	0.0563736	0.1362773	0.9920438	0.0930552	0.1196977	1.0000000
400	0.9583270	0.9951700	0.9714818	0.9998691	0.0562424	0.1362797	0.9919084	0.0930499	0.1190913	1.0000000
450	0.9589054	0.9951700	0.9714821	0.9998713	0.0561909	0.1362864	0.9918695	0.0929875	0.1188619	1.0000000
500	0.9591295	0.9951700	0.9714823	0.9998725	0.0561729	0.1362901	0.9918661	0.0929388	0.1187752	1.0000000
550	0.9367693	0.9951700	0.9714824	0.9998730	0.0561721	0.1365445	0.9528688	0.4583926	0.6666835	1.0000000
600	0.9151824	0.9951700	0.9714825	0.9998731	0.0564040	0.1395362	0.8674996	0.4358869	0.8739088	1.0000000
650	0.8995961	0.9951700	0.9714825	0.9998715	0.0575431	0.1445579	0.8456404	0.3838672	0.9522816	1.0000000
700	0.8861534	0.9951700	0.9714824	0.9998651	0.0594129	0.1471580	0.8591760	0.3558422	0.9819191	1.0000000
750	0.8770952	0.9951700	0.9714822	0.9998537	0.0609085	0.1470185	0.8746821	0.3441452	0.9931251	1.0000000
800	0.8722154	0.9951700	0.9714818	0.9998414	0.0614933	0.1459874	0.8839769	0.3399962	0.9973622	1.0000000
850	0.8699838	0.9951700	0.9714812	0.9998329	0.0614230	0.1451096	0.8883250	0.3387770	0.9989651	1.0000000
900	0.8690889	0.9951700	0.9714808	0.9998295	0.0611178	0.1445900	0.8900496	0.3385249	0.9995722	1.0000000
950	0.8687717	0.9951700	0.9714804	0.9998296	0.0608261	0.1443362	0.8906346	0.3385260	0.9998024	1.0000000
1000	0.8686742	0.9951700	0.9714803	0.9998313	0.0606249	0.1442284	0.8907959	0.3385638	0.9998899	1.0000000

0	0.8686484	0.9951695	0.9714778	0.9998349	0.0604082	0.1441714	0.8908087	0.3386104	0.9999434	1.0000000
50	0.9639541	0.9971273	0.9714677	0.9933029	0.4303138	0.1575211	0.5387813	0.2753578	0.6301081	1.0000000
100	0.9872308	0.9976192	0.9710210	0.9376698	0.4917546	0.2017088	0.4611482	0.2938359	0.4902219	1.0000000
150	0.9934310	0.9977383	0.9690626	0.8641345	0.5114492	0.2435142	0.4393832	0.3311941	0.4372722	1.0000000
200	0.9953724	0.9977536	0.9655847	0.8110551	0.5274422	0.2681040	0.4272789	0.3595153	0.4171492	1.0000000
250	0.9960893	0.9977322	0.9615247	0.7762430	0.5409678	0.2821042	0.4184842	0.3754088	0.4094081	1.0000000
300	0.9963831	0.9976956	0.9576793	0.7522522	0.5509736	0.2910405	0.4127415	0.3831169	0.4063532	1.0000000
350	0.9965086	0.9976547	0.9543997	0.7351621	0.5579111	0.2968791	0.4094837	0.3865800	0.4050925	1.0000000
400	0.9965624	0.9976158	0.9517553	0.7230179	0.5625702	0.3004562	0.4078207	0.3880816	0.4045362	1.0000000
450	0.9965853	0.9975818	0.9497024	0.7145548	0.5655829	0.3024679	0.4070295	0.3887296	0.4042705	1.0000000
500	0.9965948	0.9975539	0.9481607	0.7088228	0.5674362	0.3035168	0.4066682	0.3890156	0.4041349	1.0000000
550	0.9368908	0.9953448	0.9477072	0.7776359	0.2449397	0.2466485	0.7380188	0.4457035	0.7732938	1.0000000
600	0.9103276	0.9947904	0.9523742	0.8954334	0.1611292	0.1862545	0.8098070	0.4016271	0.9135651	1.0000000
650	0.8928342	0.9947266	0.9595983	0.9579347	0.1134419	0.1616674	0.8434477	0.3658685	0.9670598	1.0000000
700	0.8810339	0.9948241	0.9650983	0.9838950	0.0864933	0.1521081	0.8664947	0.3485046	0.9874343	1.0000000
750	0.8742421	0.9949456	0.9683152	0.9938890	0.0729440	0.1479019	0.8799593	0.3416056	0.9951842	1.0000000
800	0.8709028	0.9950398	0.9699849	0.9976246	0.0664156	0.1458821	0.8865534	0.3392772	0.9981314	1.0000000
850	0.8694619	0.9951000	0.9707969	0.9990086	0.0632739	0.1449112	0.8893525	0.3386430	0.9992528	1.0000000
900	0.8689080	0.9951344	0.9711758	0.9995227	0.0617544	0.1444677	0.8903930	0.3385364	0.9996799	1.0000000
950	0.8687186	0.9951526	0.9713472	0.9997156	0.0610232	0.1442798	0.8907250	0.3385540	0.9998429	1.0000000
1000	0.8686625	0.9951618	0.9714231	0.9997891	0.0606779	0.1442068	0.8908090	0.3385819	0.9999052	1.0000000

0	0.8686484	0.9951695	0.9714778	0.9998349	0.0604082	0.1441714	0.8908087	0.3386104	0.9999434	1.0000000
50	0.8686504	0.9973619	0.9849694	0.9998426	0.0503689	0.0436820	0.8908077	0.3386102	0.9999609	0.7825714
100	0.8686534	0.9979628	0.9881827	0.9998902	0.0341146	0.0181186	0.8908077	0.3386079	0.9999838	0.6882898
150	0.8686548	0.9981403	0.9889486	0.9999425	0.0267805	0.0116156	0.8908087	0.3386046	0.9999938	0.6474073
200	0.8686549	0.9981952	0.9891317	0.9999719	0.0245601	0.0099612	0.8908103	0.3386021	0.9999977	0.6296798
250	0.8686546	0.9982127	0.9891757	0.9999850	0.0239700	0.0095404	0.8908118	0.3386008	0.9999991	0.6219928
300	0.8686543	0.9982182	0.9891866	0.9999904	0.0238128	0.0094333	0.8908127	0.3386002	0.9999997	0.6186596
350	0.8686541	0.9982200	0.9891893	0.9999925	0.0237677	0.0094060	0.8908132	0.3386000	0.9999999	0.6172142
400	0.8686540	0.9982206	0.9891900	0.9999934	0.0237535	0.0093991	0.8908134	0.3385999	1.0000000	0.6165874
450	0.8686540	0.9982207	0.9891902	0.9999937	0.0237486	0.0093973	0.8908135	0.3385999	1.0000000	0.6163157
500	0.8686540	0.9982208	0.9891903	0.9999938	0.0237468	0.0093968	0.8908136	0.3385999	1.0000000	0.6161978
