YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C
0.0257429	0.3777228	1.0276589	0.6140199	0.6373672	0.8443535	0.3189188	0.8800279	0.0893244	1.0505607
0.0459883	0.1890990	0.9438306	0.6297443	0.7515879	0.8191433	0.3721374	0.7671351	0.0961978	0.9059381
0.5289508	0.6438835	0.5866766	0.5697931	0.7185829	0.8085749	0.4134247	1.0530061	0.0739668	0.9901104
0.0401793	0.3267892	1.1056794	0.2866861	0.7357521	0.8040668	0.3465310	0.8650369	0.1036662	1.0427857
0.0534367	0.3722832	0.9953986	0.2645017	0.3168861	0.7361366	0.3379980	0.9382027	0.0766604	1.0427183
0.0671237	0.3587849	1.0153923	0.6896456	0.9322403	0.4362525	0.3507409	0.9334966	0.0978162	0.9972500
0.0881645	0.3648598	1.0411694	0.5255104	0.6805038	0.8026745	0.2078269	0.8691695	0.0744245	1.0511019
0.1074397	0.4357639	0.8604834	0.6185745	0.9033269	0.6530548	0.6056776	0.4555343	0.2516473	0.9285104
0.0538765	0.3125115	0.9482538	0.6249991	0.8367137	0.8083657	0.3834964	0.8886765	0.0793393	1.1810711
0.1046096	0.4153054	1.0455328	0.4319763	0.6899868	0.8680636	0.3149543	0.9691401	0.1985965	0.5059103
