YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C
0.0000000	0.3402823	0.9755186	0.6150574	0.7448987	0.7450175	0.4876465	0.8730769	0.0975757	0.9393299
0.0823597	0.0000000	0.7839469	0.7400887	0.8068966	0.6486558	0.5837524	0.4158240	0.3482968	1.0326363
0.8587579	1.0176132	0.0000000	0.5808475	0.7476283	0.8230599	0.3034641	1.0996031	0.0728945	0.9343132
0.0708617	0.3298975	0.9404362	0.0000000	0.7377207	0.7856545	0.3000801	0.8560282	0.0951335	0.9985560
0.0907105	0.3464039	1.0574669	0.1085828	0.0000000	0.8402949	0.3638846	0.9935417	0.0868212	1.0172658
0.0584203	0.3485461	1.0617566	0.9986072	1.0438453	0.0000000	0.3181344	0.9770016	0.1163536	1.0401675
0.0653571	0.4054565	1.0284492	0.3875048	0.3892467	1.0030498	0.0000000	0.9904368	0.0741057	0.9064791
0.7779222	0.8316090	0.2389198	0.6806736	1.0245017	0.4604799	0.9666075	0.0000000	1.1284691	0.9677773
0.1017107	0.4391455	1.0518052	0.6026776	0.7286889	0.7672331	0.3564541	0.9552183	0.0000000	0.9479185
0.4142564	0.5898130	0.6485035	0.1459680	0.7725302	0.7485107	0.4317493	0.5493019	1.0523668	0.0000000
