YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W
0.8639946	1.0047731	0.1855120	0.8185409	0.4118840	0.1048299	0.0494919	0.9249676	0.3768327	1.0043678
0.9171250	0.9429934	0.3929343	0.7452946	0.4961631	0.2467548	0.1069820	0.9502100	0.4879961	0.9420490
0.6698193	0.8372382	0.4782765	0.8037497	0.5867965	0.5109208	0.1229627	0.8591904	0.1233308	0.4705347
0.2628921	0.9181851	0.4813788	0.6602366	0.3862655	0.3705361	0.1311608	1.0312142	0.4372469	0.7289697
0.6622658	0.7069554	0.6136788	0.8304513	0.8662048	0.5061680	0.0573862	0.9444706	0.2611908	0.7660808
0.8373257	0.8592146	0.6089552	0.8933894	0.7526768	0.4938787	0.1321478	0.8193834	0.5056715	0.8478269
0.8706211	0.8509159	0.5105900	0.7364541	0.5958861	0.4158176	0.1249332	0.9740534	0.4094201	1.1072106
0.8891728	0.6580173	0.7073647	0.8467188	0.7672385	0.6472745	0.1215386	0.9113951	0.2356519	1.0235445
0.9898848	0.3090956	0.5567207	0.9041013	0.8010841	0.7769389	0.1593117	0.8780617	0.2457889	0.6595341
0.8828226	0.2822502	0.3565125	0.7737927	0.5421249	0.8195469	0.0993809	0.9462011	0.5265428	0.8676889
