YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W
0.1447368	0.2039154	0.7962864	0.6650470	0.1441668	0.7789184	0.6413526	0.5981775	0.8729448	0.0920915
0.2140055	0.0936263	0.6032486	0.6997262	0.1645230	0.7686132	0.6034985	0.5692187	0.7119832	0.0221889
0.5822884	0.6584660	0.3294541	0.7845681	0.1687781	0.8067291	0.6648831	0.7494899	0.7740543	0.0491993
0.5004198	0.3355590	0.8677112	0.3853375	0.0943152	0.5697174	0.5844319	0.8948751	0.6922141	0.0167707
0.4066241	0.2870833	0.8905845	0.7748523	0.1125917	0.7254286	0.5553902	0.8865745	0.7213877	0.0042713
0.3700130	0.1649697	0.7850278	0.2663798	0.4021822	0.5329021	0.5782549	0.6395204	0.0141719	0.6538838
0.3827790	0.1693339	0.7375675	0.9511440	0.1325627	0.6070127	0.3001765	0.7364707	0.8211114	0.0574040
0.3899876	0.2065483	0.7470629	0.8540699	0.1040710	0.7142869	0.6577962	0.2693834	0.7885966	0.0756851
0.5021486	0.1963481	0.7237576	0.7929581	0.2095589	0.7129584	0.6474804	0.6373049	0.4691002	0.0881990
0.4399069	0.2638388	0.7225369	0.8278492	0.1547208	0.6737222	0.8472087	0.7673721	0.7067354	0.0123147
