YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W
0.3063502	0.8991724	0.5625503	0.7997933	0.5260891	0.8075364	0.9547815	0.0538505	0.1882806	1.0000000
0.9547898	0.4495956	0.5625503	0.7997933	0.5260891	0.8595197	0.9547815	0.0538505	0.1882806	1.0000000
0.9563453	0.4448963	0.2812754	0.7997933	0.5260891	0.8609694	0.9547815	0.0538505	0.1882806	1.0000000
0.5440267	0.9722780	0.8270846	0.3998970	0.5260891	0.8059547	0.9547815	0.0538505	0.1882806	1.0000000
0.5521241	0.9632879	0.7622808	0.4925739	0.2630445	0.8061201	0.9547815	0.0538505	0.1882806	1.0000000
0.6123704	0.8991724	0.5625503	0.7997933	0.5260891	0.4039721	0.9547815	0.0538505	0.1882806	1.0000000
0.5330875	0.9839930	0.9681923	0.1539557	0.1152152	0.6697284	0.4773908	0.0538505	0.1882806	1.0000000
0.6145535	0.8955606	0.5551651	0.8139245	0.5504367	0.8125094	0.9842038	0.0269266	0.1882806	1.0000000
0.6123779	0.8991211	0.5623398	0.8004834	0.5276298	0.8078240	0.9568437	0.0521442	0.0941761	1.0000000
0.5666835	0.9480152	0.6885395	0.5987776	0.3247930	0.7598467	0.7354007	0.1976211	0.5562134	0.5000000
