YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W
0.2606310	0.3484381	0.9089473	0.8651995	1.0584972	0.1509106	0.9905710	0.9348632	1.0515043	0.0919256
0.6143681	0.2062438	0.7541060	0.7327259	1.0120494	0.1402257	1.0002610	1.0169576	0.8839341	0.0499397
0.2024084	0.9701503	0.4443440	0.6401392	1.0369303	0.1644878	1.0620611	0.9329045	1.0582622	0.0837436
0.2657107	0.7035140	0.5398907	0.4077944	1.0084012	0.1184460	1.0432337	1.0162430	1.0330097	0.1095532
0.2206601	0.7220621	0.6113690	0.3674587	0.5647995	0.1806654	1.1410649	0.9395819	1.1265733	0.2297681
0.3065137	0.4955100	0.8055635	0.7687041	1.0490196	0.0743639	1.1117213	1.0092118	1.0482464	0.0737652
0.3305433	0.3914743	0.7523864	0.7645964	0.9918942	0.4379455	0.4462572	0.9811135	1.0203970	0.0831959
0.4657935	0.4501776	0.8217588	0.7636976	1.1376793	0.1862553	0.9261677	0.5029712	1.1014265	0.0846102
0.4060281	0.3645921	0.8843760	0.7821419	1.0341218	0.1490264	1.0072491	1.0047345	0.5408040	0.1035959
0.5349565	0.3725509	0.8305177	0.6944869	1.0777054	0.1292745	1.1411764	0.9615626	0.9695475	0.0595856
