YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W
0.0000000	0.3858710	0.8193037	0.6994354	0.9999672	0.1498409	0.9726111	0.9967351	1.0000000	0.0897617
0.6523271	0.0000002	0.8193037	0.6994354	0.9999672	0.1498409	0.9726111	0.9967351	1.0000000	0.0897617
0.2220861	0.9999980	0.0000000	0.6994354	0.9999672	0.1498409	0.9726111	0.9967351	1.0000000	0.0897617
0.2220878	0.9999967	0.0107372	0.0000001	0.9999672	0.1498409	0.9726111	0.9967351	1.0000000	0.0897617
0.2220835	0.9999986	0.0107401	0.0014600	0.0000007	0.7060669	0.9726111	0.9967351	1.0000000	0.9999980
0.4479517	0.3858658	0.8193089	0.6994461	1.0000000	0.0000000	0.9726111	0.9967351	1.0000000	0.0897586
0.2281758	0.3877991	0.8173547	0.6954257	0.9877301	0.4411405	0.0000000	0.9967351	1.0000000	0.0909426
0.2283900	0.3876648	0.8174089	0.6954650	0.9877475	0.4411342	0.0404754	0.0000000	1.0000000	0.0909300
0.2282754	0.3877511	0.8173737	0.6954400	0.9877399	0.4411110	0.0668622	0.0321928	0.0000002	0.0909380
0.4479461	0.3858710	0.8193037	0.6994354	0.9999672	0.1498409	0.9726111	0.9967351	1.0000000	0.0000001
