YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W
0.0306559	1.0100914	1.0196320	0.0327675	0.3106176	0.9123227	0.5558331	0.9009159	1.0227445	1.1058559
0.5481243	0.4424065	1.0697407	0.0463878	0.4668901	0.8003865	0.5984859	1.0743128	1.1117089	1.0652180
0.0714381	0.9799428	0.4756699	0.0223720	0.2791075	0.9281296	0.5076546	0.9890104	1.0360435	1.1036524
0.1009649	0.9846383	1.0295315	0.0143007	0.2561200	0.9406918	0.5485964	1.0062942	1.0187856	1.0774385
0.0855649	0.9868319	1.0118109	0.0416792	0.1509538	0.9085426	0.5380263	0.9282284	1.0394421	0.9732650
0.1160361	0.9984881	0.9570123	0.0723601	0.5020624	0.4881276	0.5123071	0.9907422	1.0190473	0.9616160
0.0552099	1.0839031	0.9982786	0.0213402	0.3105753	0.9579026	0.2631251	0.9500981	0.9842245	1.0488450
0.0827354	0.9862833	0.9406640	0.0219091	0.3143216	0.8096675	0.7761671	0.5037558	1.0607175	1.0290956
0.1082661	1.0638430	0.9288203	0.1347732	0.2865113	0.8666844	0.5745724	0.9924488	0.5678400	1.0087838
0.1082905	0.9327149	1.0362501	0.0394038	0.3152133	0.9646850	0.5252659	1.0166315	1.0414341	0.5194521
