YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W
0.0981776	0.9626431	0.9258647	0.3618080	0.1098417	0.8240346	0.5805380	0.7658392	0.8750098	0.9999109
0.0727064	0.9644584	1.0887471	0.2570210	0.0838883	0.8952229	0.5059806	0.9338028	0.5925048	1.0182712
0.0959777	1.0136152	0.7570045	0.5628557	0.2232148	0.6790620	0.5500591	0.5952128	0.7989891	0.9969103
0.0796591	1.0162415	0.9507363	0.2469888	0.0245688	0.8480628	0.5890893	0.9487975	0.6425524	0.5203336
0.1051718	0.9761961	1.0144156	0.0148304	0.1189138	0.9721345	0.5156519	0.9391373	0.9658053	0.6794782
0.1020769	0.9887570	0.9251002	0.0995925	0.2565221	0.8900139	0.5036240	1.0043847	0.6397041	0.9760151
0.0282288	0.9849883	0.9186820	0.3248083	0.3569671	0.9323658	0.5607212	1.0313905	0.9739990	0.9688859
0.0208698	0.9998065	0.7896978	0.1438144	0.1805994	0.9020518	0.4783197	0.7794191	0.8038150	1.0669751
0.0893706	0.9300364	0.7992476	0.0088587	0.5453967	0.7475541	0.4688286	1.0195846	0.9664343	0.7119594
0.0339173	0.9427565	1.1082902	0.0121986	0.1855846	0.8761358	0.5260748	0.7843269	0.9729169	0.4785052
