"Time"	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W

0	1.0415469	0.0131275	0.0682592	0.8853157	0.8700556	1.0162479	0.0406547	0.9986145	0.0428991	0.9892715
50	0.9962406	0.0047456	0.0446845	0.8537564	0.9676932	0.8961934	0.1386507	1.0161754	0.0351795	0.5023879
100	0.9631751	0.0191801	0.0368103	0.8362686	0.9207175	0.8337174	0.1664124	0.9533523	0.0923239	0.3050440
150	0.9668348	0.1356974	0.0548440	0.8273742	0.8990341	0.7493593	0.2038954	0.9438258	0.2117903	0.2113113
200	0.9434224	0.0990932	0.0577562	0.8198227	0.8952669	0.7206237	0.3378632	0.8520240	0.4435339	0.1977284
250	1.0185566	0.1635027	0.0490854	0.7907318	0.9669603	0.6922522	0.4709901	0.8186805	0.5628847	0.1742176
300	0.9906665	0.0722534	0.0417649	0.7845286	0.8876199	0.7854658	0.5789826	0.7191164	0.6249942	0.1952337
350	0.9149197	0.0279895	0.0626033	0.8301894	0.8828974	0.7714375	0.6127278	0.6275136	0.6925502	0.1803115
400	0.8496715	0.0136035	0.0661757	0.8106750	0.8455088	0.6548448	0.7184151	0.4846795	0.7218815	0.1569006
450	0.9320596	0.0069134	0.0542699	0.8024109	0.8217994	0.6031353	0.7416338	0.4524272	0.7315166	0.1600528
500	0.9857504	0.0089824	0.0533354	0.7725982	0.8676911	0.5419412	0.7996315	0.3530302	0.7244775	0.1640645
550	0.9244909	0.0137466	0.0607734	0.8134456	0.8724799	0.6392094	0.7093578	0.3800867	0.6135542	0.6917549
600	1.0099746	0.0247552	0.0427227	0.7933031	0.8726503	0.7376958	0.6421797	0.4366009	0.3025472	0.8482071
650	0.9667006	0.0788529	0.0588549	0.8249845	0.8959781	0.7648193	0.4920276	0.6709402	0.1209570	1.0189893
700	0.9315248	0.0341580	0.0489233	0.8496929	0.9240656	0.9602799	0.2972081	0.8292356	0.0687031	0.9170740
750	0.9602014	0.0153661	0.0519361	0.7797396	0.9596805	1.0394663	0.1627937	0.9177040	0.0379805	1.0151546
800	0.8818427	0.0130694	0.0474775	0.8539718	0.8889812	1.0451962	0.1033805	0.8872028	0.0295964	1.0245822
850	0.9260551	0.0099104	0.0405330	0.8708528	0.9063966	1.0901853	0.0637014	0.9943162	0.0474503	1.0549045
900	0.9935175	0.0086366	0.0652555	0.9362074	0.8783551	0.9967485	0.0616953	0.9945448	0.0562750	0.9957241
950	0.8887172	0.0009824	0.0618289	0.7997500	0.8495155	0.9341607	0.0397885	1.0032280	0.0709999	0.9959079
1000	0.8720871	0.0021062	0.0697592	0.9025400	0.8939364	0.9406718	0.0329367	1.0418963	0.0500968	0.9962190

0	1.0415469	0.0131275	0.0682592	0.8853157	0.8700556	1.0162479	0.0406547	0.9986145	0.0428991	0.9892715
50	0.9384372	0.0174380	0.0373373	0.7607868	0.8745147	0.4856887	0.0325298	0.8647635	0.0180607	1.0416056
100	1.0378529	0.0490491	0.0511435	0.7678781	0.8749185	0.2452575	0.0277506	0.8399293	0.0056561	0.9352067
150	1.0869012	0.0869760	0.0461961	0.5970431	0.7991211	0.1715342	0.0190642	0.8532071	0.0177754	1.0132775
200	1.0899255	0.0449848	0.0512947	0.3693343	0.7496935	0.1407630	0.0230653	0.8424865	0.0120899	1.0256303
250	0.9626735	0.0194948	0.0782631	0.2639697	0.6479882	0.1158233	0.0310410	0.7766245	0.0123374	0.9866820
300	0.9766952	0.0041934	0.1018040	0.2234634	0.6016284	0.1120642	0.0420248	0.8433421	0.0103761	0.9968486
350	0.9219874	0.0000000	0.1718675	0.2118452	0.5738928	0.1194208	0.0269823	0.8399601	0.0039443	1.0498383
400	1.0393504	0.0015023	0.2348037	0.1441204	0.5597150	0.1333545	0.0419544	0.8560769	0.0037363	0.9645133
450	0.9591520	0.0028310	0.3131743	0.1547933	0.6299956	0.1690630	0.0257462	0.8471283	0.0095835	0.9748667
500	0.9570424	0.0037741	0.3245613	0.1506187	0.5793993	0.1234747	0.0272045	0.8907610	0.0073135	1.0369342
550	1.0011029	0.0010870	0.3720465	0.3148378	0.7031853	0.7404950	0.0259188	1.0084913	0.0355178	1.0192403
600	0.9972777	0.0012741	0.2419885	0.6281200	0.8634262	0.9375757	0.0399809	1.0307779	0.0441789	1.0100892
650	1.0349984	0.0002788	0.1077352	0.7094718	0.9061703	0.9176757	0.0332912	0.9574263	0.0265518	0.9798606
700	1.0435343	0.0005366	0.0841973	0.7667251	0.9088158	0.9317808	0.0349971	0.9515567	0.0451526	0.9539666
750	1.0041364	0.0016510	0.0537203	0.8246226	0.9063059	0.9406543	0.0452176	1.0109754	0.0488430	0.9751504
800	1.0023488	0.0017155	0.0491664	0.7536068	0.8860214	0.9863007	0.0453566	1.0476992	0.0342031	0.9850888
850	0.9755850	0.0027947	0.0572013	0.8053204	0.9040825	0.9783034	0.0307831	1.0312434	0.0260452	1.0338546
900	0.9553908	0.0125733	0.0591253	0.8946500	0.9115781	1.0739987	0.0410339	1.0667248	0.0430178	0.9949178
950	0.9837734	0.0057934	0.0478073	0.8868147	0.9240367	1.0377749	0.0495933	0.9877177	0.0417074	0.9949703
1000	0.9900907	0.0087464	0.0501139	0.8425382	0.9273107	0.9409500	0.0442302	0.9289823	0.0358007	0.9487162

0	1.0415469	0.0131275	0.0682592	0.8853157	0.8700556	1.0162479	0.0406547	0.9986145	0.0428991	0.9892715
50	0.9989591	0.0040700	0.0402802	0.8938320	0.9553042	0.9949128	0.0430090	1.0643742	0.0333853	0.9958251
100	1.0070369	0.0249582	0.0460842	0.9462151	0.9817585	0.9970792	0.0195332	1.0460944	0.0535040	0.9890120
150	0.9821943	0.0654940	0.0325585	0.8727527	0.9425175	1.0154402	0.0279548	0.9456293	0.0436046	0.9696968
200	0.9682851	0.0969920	0.0367049	0.8637506	0.9804249	0.9969559	0.0339135	0.9544212	0.0578358	1.0180690
250	1.0437367	0.0387472	0.0592895	0.9073398	0.9765968	1.0521889	0.0399012	0.9016810	0.0562563	0.9652144
300	1.0136132	0.0135078	0.0578396	0.8360592	0.9225994	0.9909100	0.0433896	0.9292785	0.0633576	1.0531837
350	0.9829541	0.0035114	0.0637729	0.8621649	0.9399769	1.0216645	0.0577583	1.0465647	0.0600982	0.9408855
400	1.0497766	0.0109965	0.0767703	0.8780935	0.9207601	0.9934154	0.0395980	0.9711950	0.0514194	1.0306016
450	1.0010901	0.0063829	0.0590389	0.8410786	0.9749055	0.9239393	0.0413676	0.8763988	0.0571972	1.0569496
500	0.9815919	0.0028044	0.0716365	0.7907268	0.9909663	0.9943741	0.0512072	0.8876737	0.0417551	1.1688593
550	0.9072583	0.0028431	0.0459860	0.8488099	1.0027782	0.9949200	0.0343175	0.9422541	0.0308156	0.9880989
600	0.9206977	0.0009137	0.0685751	0.8146160	0.9109641	0.9965993	0.0307756	1.0168928	0.0432281	0.9947279
650	0.9524126	0.0080562	0.0497286	0.8573796	0.9498047	1.0279566	0.0328339	1.0005881	0.0326685	1.0353973
700	1.0237940	0.3170430	0.0300787	0.8927354	0.9507877	0.9359148	0.0452777	1.0268193	0.0509291	0.9761478
750	0.9381991	0.4887454	0.0482522	0.8172624	0.8997154	0.9692747	0.0525836	1.0520210	0.0522801	0.9621039
800	0.7757804	0.1788140	0.0544276	0.8323126	0.9054889	1.0262846	0.0841525	1.0616950	0.0704977	0.9307379
850	0.8390181	0.0871544	0.0469998	0.8440054	0.9222226	1.0303827	0.0570868	0.9528789	0.0418917	0.9408583
900	0.9213107	0.0338920	0.0398107	0.8674910	0.9047258	1.0778042	0.0483555	1.0068448	0.0395507	0.9662122
950	0.9871059	0.0774271	0.0447409	0.8351979	0.8663648	1.0513234	0.0336808	0.9502668	0.0415537	1.0373308
1000	1.0681991	0.3779738	0.0561255	0.8294982	0.9117078	1.0095622	0.0341000	1.0040291	0.0494383	0.9974270

0	1.0415469	0.0131275	0.0682592	0.8853157	0.8700556	1.0162479	0.0406547	0.9986145	0.0428991	0.9892715
50	0.8190012	0.0092617	0.0079249	0.8793393	0.9711616	1.0051071	0.3309287	0.4306360	0.0126454	1.1146957
100	0.6487857	0.0261464	0.0106045	0.8158760	0.9217962	1.0589470	0.4091049	0.1895077	0.0072871	1.1080781
150	0.7263227	0.0213548	0.0151642	0.8703799	0.8282928	1.0560753	0.4703402	0.0930186	0.0000000	1.0141670
200	0.7677711	0.0219146	0.0002708	0.8556835	0.9145418	0.9572198	0.5492253	0.0470802	0.0010077	1.1370166
250	0.6954758	0.0095044	0.0090646	0.8534054	0.8544574	0.9637930	0.5786703	0.0564867	0.0007358	0.9166706
300	0.6928315	0.0201662	0.0155861	0.8665317	0.9968795	0.8803932	0.6137398	0.0530220	0.0046448	0.9343574
350	0.7490194	0.0057390	0.0159977	0.8187834	1.0053473	0.8916128	0.5538649	0.0558882	0.0038187	0.8923555
400	0.7428543	0.0166963	0.0139373	0.8500054	0.9101943	0.9729082	0.5490575	0.0654555	0.0143622	0.8934842
450	0.6679993	0.0058921	0.0240447	0.8058012	0.9036509	1.0005729	0.5247656	0.0666854	0.0089703	0.9458584
500	0.6543346	0.0182839	0.0130008	0.7743762	0.8836765	0.8959585	0.5619100	0.0649219	0.0036429	1.0349931
550	0.7914155	0.3956196	0.0356644	0.7955197	0.8826005	0.9207130	0.2388893	0.6650896	0.0431345	0.9773616
600	0.8728395	0.2593507	0.0537350	0.9055964	0.9466734	0.9884440	0.1157400	0.9438199	0.0463863	0.9283660
650	0.8789520	0.1092369	0.0419993	0.9023115	0.9543192	0.9592727	0.0712543	1.0346318	0.0316368	1.0038520
700	0.7964446	0.2282973	0.0481053	0.8482306	0.9779272	0.9850335	0.0534365	1.0144060	0.0384732	0.9869808
750	0.8739379	0.1570358	0.0550762	0.8372977	0.8874025	1.0022782	0.0608913	1.0633356	0.0554572	0.9774841
800	0.9270085	0.0563110	0.0632455	0.8630745	0.9280860	0.9774394	0.0473595	1.0774019	0.0726095	1.0338245
850	1.0361825	0.0164691	0.0328858	0.8745064	0.8428072	0.9463177	0.0444118	0.9429132	0.0615909	1.0311002
900	0.9932347	0.0269878	0.0461015	0.7787963	0.9257961	0.9736599	0.0303354	0.9222792	0.0398671	1.0293999
950	1.0621396	0.0503662	0.0457018	0.8671369	0.8722464	0.8861236	0.0436695	0.9488717	0.0252153	0.9535530
1000	0.9938216	0.0282181	0.0599475	0.8216017	0.9480463	0.9147025	0.0489869	0.9569403	0.0315164	0.9175558

0	1.0415469	0.0131275	0.0682592	0.8853157	0.8700556	1.0162479	0.0406547	0.9986145	0.0428991	0.9892715
50	1.1073763	0.0063399	0.0501263	0.9607803	0.9263208	0.6281245	0.0311539	0.9777828	0.0608229	0.4325934
100	1.1179372	0.0150725	0.0459218	0.9017245	0.9014473	0.4654065	0.0375650	0.9426401	0.1696721	0.2067671
150	0.9970745	0.0285477	0.0661817	0.9949743	0.9093812	0.4206947	0.1095726	0.8634086	0.4535978	0.1671323
200	0.9357587	0.0142888	0.0510532	0.9410683	0.8824537	0.3787311	0.2808255	0.7036396	0.6931539	0.1149006
250	0.9762821	0.0090575	0.0549049	0.9002958	0.8377623	0.3604897	0.4202080	0.4897563	0.8553099	0.1247107
300	0.9950632	0.0029048	0.0577937	0.9615319	0.8147796	0.3315254	0.5378999	0.4002218	0.8907159	0.1111489
350	1.0048840	0.0016817	0.0438955	0.9706692	0.8753013	0.3719989	0.6078223	0.2880889	0.9496551	0.1017573
