YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W
0.0417014	0.1191898	0.4865185	0.9501185	0.8722404	0.0056660	0.0190281	0.4363981	0.6234456	0.1509647
0.4998815	0.1218353	0.7099892	0.7712133	1.0152381	0.0188088	0.0436745	0.5600758	0.5532494	0.2752954
0.2679359	0.4357173	1.0520673	0.0949365	0.0901994	0.9184314	0.9005460	0.0221580	0.1297283	0.7599502
0.2828998	0.0334048	0.8027074	0.6398910	0.6274784	0.3011798	0.0363734	0.4293639	0.8492531	0.0002181
0.7034352	0.0096185	0.5665617	0.6526746	0.7295447	0.1444354	0.0339397	0.5346264	0.6959010	0.0004429
0.4141616	0.5535748	0.4698500	0.7334776	0.6467251	0.1714617	0.0119016	0.5111358	0.5682433	0.1860842
0.1259120	0.1830403	0.7938026	0.6582645	0.7558246	0.1354539	0.1266950	0.2933358	0.4703022	0.2155781
0.5664393	0.5304023	0.9119049	0.0194608	0.0743123	0.7423154	0.4751299	0.1718556	0.4162531	0.3989422
0.2785266	0.0123347	0.7136532	0.8267997	1.1016505	0.0248199	0.0127850	0.5120903	0.8810745	0.0028096
0.6421005	0.3635614	0.9342005	0.6153338	0.6698324	0.2884299	0.0224051	0.4161932	0.7227049	0.0000832
