YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W
0.4251352	0.4238556	0.3504032	0.6847968	0.1072848	0.5757460	0.6368634	0.5595234	0.4485071	0.7203934
0.2720948	0.4804144	0.3627014	0.4755789	0.1638201	0.2805804	0.5000293	0.5214126	0.2691129	0.6401722
0.2151927	0.4391594	0.3088244	0.7807049	0.1504735	0.3510799	0.5754136	0.5878991	0.2413027	0.6157462
0.3850766	0.4427697	0.4013536	0.4204937	0.3684302	0.6012954	0.6357731	0.6484911	0.4203791	0.6920077
0.4018669	0.4914246	0.3492607	0.5828030	0.4302392	0.4759059	0.7983285	0.6927333	0.5243170	0.6494306
0.3751831	0.7493143	0.3025125	0.6783138	0.0760953	0.4445871	0.6305586	0.5587268	0.4262852	0.7463019
0.3109906	0.4677054	0.2676335	0.7402997	0.0897712	0.2788406	0.6247599	0.5545101	0.2636577	0.4510096
0.3805894	0.7726230	0.2689118	0.4286355	0.1675565	0.3100764	0.6546275	0.3675700	0.4084371	0.7633452
0.2074065	0.3551843	0.5788237	0.3984608	0.1468151	0.3632556	0.7363655	0.4972955	0.3788963	0.7571599
0.3707174	0.5866222	0.5008535	0.4497868	0.3450664	0.3163309	0.7002498	0.5395056	0.3467839	0.6380991
