"Time"	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W

0	0.5711492	0.8267111	0.4548453	0.9491968	0.3171691	0.5293988	0.9652567	0.7533460	0.5595036	1.0000000
50	0.4835421	0.2982727	0.4787179	0.6248199	0.3171595	0.5289535	0.9539501	0.3763474	0.8073471	0.7694511
100	0.2869025	0.1905953	0.5535107	0.5196939	0.3172706	0.5230327	0.9150016	0.3103910	0.8874657	0.6987823
150	0.1636342	0.1605210	0.6325706	0.4856271	0.3164679	0.5096603	0.9079607	0.3028628	0.9116165	0.6771205
200	0.1079128	0.1437091	0.6884493	0.4747295	0.3133174	0.5038117	0.9426344	0.3028941	0.9183042	0.6704807
250	0.0841485	0.1312330	0.7205578	0.4715805	0.3101958	0.5117462	0.9718175	0.3029927	0.9199465	0.6684454
300	0.0737503	0.1226082	0.7368068	0.4709314	0.3101473	0.5243748	0.9863840	0.3027878	0.9202655	0.6678215
350	0.0689518	0.1172845	0.7443179	0.4707788	0.3127545	0.5345536	0.9925850	0.3025367	0.9202878	0.6676303
400	0.0666239	0.1142863	0.7476031	0.4704598	0.3160927	0.5408332	0.9951211	0.3023500	0.9202653	0.6675717
450	0.0654575	0.1127076	0.7490818	0.4699341	0.3188871	0.5441944	0.9961687	0.3022363	0.9202474	0.6675537
500	0.0648650	0.1119077	0.7498783	0.4693549	0.3207866	0.5458512	0.9966160	0.3021735	0.9202379	0.6675482
550	0.0874018	0.4709916	0.7160642	0.7927890	0.3219220	0.5466656	0.9975536	0.7134866	0.6125872	0.8980954
600	0.1795156	0.5643604	0.6267226	0.8971936	0.3225512	0.5472524	0.9978989	0.7621842	0.5437539	0.9687637
650	0.2778692	0.6315073	0.5495123	0.9307767	0.3229262	0.5474380	0.9953527	0.7470779	0.5404624	0.9904253
700	0.3585984	0.6967501	0.5023112	0.9415081	0.3231351	0.5465542	0.9896065	0.7386010	0.5478538	0.9970651
750	0.4247606	0.7487285	0.4775647	0.9449051	0.3230817	0.5442967	0.9825992	0.7397989	0.5536645	0.9991004
800	0.4764101	0.7831958	0.4656670	0.9460103	0.3226459	0.5411110	0.9764190	0.7440577	0.5568569	0.9997242
850	0.5132188	0.8034230	0.4602542	0.9464821	0.3218452	0.5377970	0.9719530	0.7478389	0.5583761	0.9999155
900	0.5372261	0.8143806	0.4578610	0.9468542	0.3208410	0.5349724	0.9691055	0.7503150	0.5590434	0.9999741
950	0.5517860	0.8200073	0.4567834	0.9472602	0.3198351	0.5328773	0.9674192	0.7517117	0.5593217	0.9999921
1000	0.5601246	0.8228065	0.4562440	0.9476898	0.3189734	0.5314685	0.9664596	0.7524354	0.5594335	0.9999976

0	0.5711492	0.8267111	0.4548453	0.9491968	0.3171691	0.5293988	0.9652567	0.7533460	0.5595036	1.0000000
