"Time"	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W

0	0.5887525	0.0776439	0.1305840	0.2814105	0.7498520	0.0110879	0.2631349	0.7768229	0.0558212	0.5623108
50	0.6595792	0.0728267	0.2102338	0.2646938	0.4456903	0.0130471	0.2852117	0.7464404	0.0461918	0.4652450
100	0.6485546	0.0995013	0.1365806	0.3427299	0.3628609	0.0162390	0.2917421	0.6224509	0.0874104	0.5346373
150	0.8048374	0.0972012	0.1157837	0.3274003	0.4086348	0.0050826	0.2375945	0.7644030	0.0770252	0.5020958
200	0.6622363	0.1025713	0.0638367	0.3641800	0.3822730	0.0168662	0.2399886	0.7441832	0.0644574	0.5132595
250	0.8229594	0.1227059	0.0968615	0.4013232	0.4027408	0.0216787	0.3269987	0.7888728	0.0348391	0.6395549
300	0.5784107	0.0868504	0.0957689	0.4142894	0.3500257	0.0086168	0.3046121	0.8451904	0.0632708	0.4622317
350	0.7340449	0.0646399	0.0571359	0.3846521	0.3601090	0.0263892	0.3051245	0.7524811	0.0412959	0.4733927
400	0.5481902	0.0821780	0.0837186	0.2965134	0.2885093	0.0305296	0.3242523	0.7883789	0.0705334	0.4826172
450	0.6568911	0.0752441	0.0515284	0.4065862	0.4666611	0.0261849	0.4102606	0.8136720	0.0461968	0.6284882
500	0.6843216	0.0958745	0.0842137	0.3694362	0.4041182	0.0157255	0.2640395	0.8127840	0.0653904	0.4773276
550	0.6057254	0.0760724	0.0711274	0.3845519	0.7181178	0.0089808	0.4528935	0.6912114	0.0241300	0.5729036
600	0.5413831	0.0717301	0.0493741	0.2828872	0.7210241	0.0205770	0.2415091	0.7138882	0.0569879	0.4539899
650	0.8640590	0.0776037	0.0604962	0.2108726	0.7759946	0.0364990	0.3622544	0.6520975	0.0568037	0.5448278
700	0.7755179	0.0776451	0.0909637	0.2348144	0.7825669	0.0085553	0.3003854	0.9156995	0.0696131	0.4209136
750	0.8261312	0.0860018	0.1098013	0.2620285	0.7846176	0.0157877	0.3440146	0.7620369	0.0543582	0.5182454
800	0.7274377	0.0972298	0.0439368	0.2262202	0.7847701	0.0298841	0.3948518	0.7760103	0.0887266	0.5264039
850	0.6825101	0.1488023	0.1154454	0.1955503	0.6742803	0.0056529	0.3212653	0.7364198	0.0495616	0.5803452
