"Time"	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W

0	0.8701423	0.1297229	0.1574169	0.3223726	1.0380397	0.0235609	0.4125326	1.0388252	0.0869669	0.6515472
50	0.9235935	0.1000857	0.2032255	0.3679034	0.6073121	0.0192693	0.4548114	1.0339967	0.0718448	0.6305424
100	0.9253673	0.1353429	0.1572330	0.4162812	0.5466052	0.0268782	0.3674814	0.9485157	0.0853227	0.6393688
150	0.9069584	0.1201660	0.1176849	0.4503417	0.4916735	0.0181188	0.3702184	0.9745175	0.0915873	0.6528788
200	0.8706430	0.1466389	0.1152824	0.4290967	0.5085957	0.0209755	0.3974083	1.0405126	0.0501565	0.6468539
250	0.8472065	0.1274488	0.1072849	0.5191679	0.4692326	0.0192351	0.4464731	1.0038589	0.0514678	0.6604824
300	0.9033018	0.1008010	0.1156239	0.5194047	0.4743113	0.0228586	0.4342175	1.0430475	0.0757977	0.6464142
350	0.8867631	0.1183694	0.1072150	0.5141619	0.4662894	0.0328519	0.3745821	1.1074990	0.0773460	0.5969442
400	0.8225753	0.0975647	0.1038424	0.4885082	0.4446940	0.0269598	0.3968290	1.0099049	0.0927611	0.6568907
450	0.8618834	0.0977338	0.0921054	0.5455083	0.4169861	0.0233190	0.4314476	1.0380436	0.0793236	0.6771387
500	0.8659023	0.1259060	0.1177626	0.4904230	0.5531678	0.0354749	0.4009675	1.0156367	0.0707964	0.7266327
550	0.8422229	0.1117133	0.1007024	0.4297412	0.8854542	0.0175939	0.4293768	1.0136013	0.0726276	0.7813335
600	0.8879504	0.1310411	0.0793186	0.3607969	1.0109281	0.0302095	0.3799528	0.9195212	0.0577056	0.7149727
650	0.9976968	0.0860517	0.1027219	0.3199393	0.9205296	0.0196220	0.3861842	0.9480691	0.0710585	0.7544206
700	0.9597039	0.1057099	0.1200544	0.3153371	0.9714867	0.0324167	0.3804586	1.0340493	0.0994152	0.6813193
750	0.9397648	0.1095560	0.1195246	0.2778786	1.0105978	0.0287608	0.5072280	0.9897872	0.0774582	0.6101345
800	0.8765571	0.1054005	0.1369837	0.3162003	0.9788445	0.0220722	0.4445273	1.0175043	0.1038771	0.6773001
850	0.9280860	0.1366575	0.1553861	0.2634733	0.9273248	0.0226775	0.4494604	1.0020454	0.0773497	0.7046286
900	0.9660042	0.1060241	0.1467720	0.3739744	0.9589588	0.0300787	0.4219420	0.9092633	0.0867764	0.6426408
950	0.8503852	0.1125429	0.1526721	0.2629026	1.0682983	0.0269197	0.4288529	0.8797802	0.0656184	0.6595190
1000	0.9185621	0.1054894	0.1254051	0.3060715	1.0807774	0.0226608	0.3977891	0.9324128	0.0900739	0.6614095

0	0.8701423	0.1297229	0.1574169	0.3223726	1.0380397	0.0235609	0.4125326	1.0388252	0.0869669	0.6515472
50	0.7998259	0.0849485	0.5141261	0.1420793	1.0232706	0.0106968	0.4848739	1.0909443	0.0747899	0.7057597
100	0.7072719	0.1559832	0.7044025	0.0959809	0.9322027	0.0093803	0.4562635	0.9614937	0.0760795	0.5898685
150	0.6805392	0.2344943	0.8644848	0.0870215	1.0353904	0.0073648	0.4271789	1.0508058	0.0625909	0.5892554
200	0.6030563	0.4367016	0.9203657	0.0717733	1.0433742	0.0011498	0.4312130	0.9882746	0.0722685	0.5561813
250	0.5541092	0.5263219	0.9494792	0.0422572	1.0334843	0.0066988	0.3846495	1.0248510	0.0928104	0.6696183
300	0.5320437	0.5185876	1.0149273	0.0726671	0.9827946	0.0022659	0.5290913	1.0040836	0.0683722	0.6848759
350	0.5272902	0.5667873	1.0001490	0.0757166	1.0185869	0.0010845	0.5253984	1.0089602	0.0678640	0.6900180
400	0.4249342	0.5919976	1.0485802	0.0493422	1.0315392	0.0016243	0.5389271	0.9477546	0.0845788	0.7250919
450	0.4587193	0.5914300	1.0177166	0.0401965	0.9913910	0.0000000	0.6136812	0.9926563	0.0931843	0.6312831
500	0.5073617	0.5777366	1.0544755	0.0604417	1.0829872	0.0030778	0.5630727	0.9532375	0.1177183	0.7010923
550	0.6112646	0.5174645	0.9660394	0.1762393	0.9874177	0.0093733	0.6314785	0.9330657	0.0912377	0.7159891
600	0.7620355	0.5489276	0.7655429	0.2474033	0.9736328	0.0045214	0.5388437	0.9802205	0.0842977	0.7623560
650	0.7392329	0.5064374	0.5163846	0.2803861	0.9372616	0.0054845	0.5273382	0.9699848	0.0564288	0.7768416
700	0.7034514	0.4763774	0.2712482	0.2861995	0.9552139	0.0102477	0.5159663	0.9781438	0.0919395	0.6768197
750	0.7156396	0.2603327	0.2797421	0.2979557	0.9565324	0.0169278	0.4976373	1.0213114	0.0810979	0.7011989
800	0.8261722	0.1979326	0.2023517	0.2762495	0.9560087	0.0125561	0.3973565	0.9789848	0.0815843	0.7373061
850	0.8036181	0.1330712	0.2053698	0.2527643	0.9726928	0.0216656	0.3781494	0.9317430	0.0748541	0.7128014
900	0.9021244	0.1168648	0.1863368	0.2481676	0.9512766	0.0186727	0.3886921	0.9642578	0.0606755	0.6544925
950	0.9502352	0.1218406	0.2291552	0.3145303	0.9150929	0.0263583	0.3631547	1.0049227	0.0750472	0.6504818
1000	0.9818320	0.1092667	0.2216864	0.2379758	1.0381212	0.0249569	0.3848800	1.0600056	0.0606363	0.5812296

