YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W
0.6607125	0.0007059	0.0025664	0.2964279	0.5541817	0.0571063	0.1450924	0.5689239	0.0000763	0.4375972
0.5953700	0.2025325	0.3773119	0.1995116	0.7382451	0.0049117	0.3162726	0.5781386	0.2328162	0.7173694
0.3603574	0.3990992	0.3010052	0.1913254	0.7927095	0.0092308	0.2974523	0.7094364	0.0023425	0.6828016
0.6153793	0.2039413	0.3610022	0.2222806	0.4436733	0.0635952	0.2153677	0.9017986	0.0001553	0.4101337
0.3978696	0.0518143	0.2659151	0.2537527	0.5602127	0.1147403	0.2527467	0.6931738	0.1985600	0.2455487
0.5742760	0.1935251	0.4921690	0.1243804	0.7336235	0.0024133	0.6590861	0.6203783	0.0004662	0.6849798
0.4667503	0.2269959	0.3414045	0.1400951	0.8718181	0.0169558	0.2065022	0.5192739	0.0026046	0.7632169
0.5514884	0.5320352	0.6698676	0.1627861	0.7978220	0.0437943	0.4793078	0.7590291	0.0024024	0.3432594
0.7062320	0.0994866	0.0735047	0.1415669	0.8169304	0.0559817	0.6301512	0.9052827	0.0104255	0.3973888
0.5003888	0.4712066	0.6099714	0.1247781	0.6396339	0.0132973	0.5044832	0.7477492	0.2034752	0.6934533
