YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C
0.0000000	0.2271067	0.4063347	0.6638821	0.7951110	0.2037103	0.9162262	0.4703236	0.7725641	1.0000000
0.6224950	0.0000003	0.4063406	0.6638858	0.7951079	0.2037107	0.9162253	0.4703236	0.7725641	1.0000000
0.6224939	0.2271111	0.0000002	0.6638849	0.7951087	0.2037106	0.9162255	0.4703236	0.7725641	1.0000000
0.5736849	0.1870198	0.0017122	0.0000000	0.8599796	0.1857163	0.9999999	0.4703236	0.7725641	1.0000000
1.0000000	0.9999589	0.6082522	1.0000000	0.0000000	0.2112593	0.8878083	0.4703236	0.7725641	1.0000000
0.4825648	0.1297677	0.3114540	0.5394907	1.0000000	0.0000000	0.9298564	0.4703236	0.7725641	1.0000000
0.9999867	0.9999183	0.6082323	0.9999719	0.0229532	1.0000000	0.0000030	0.4703236	0.7725641	1.0000000
0.5736794	0.1870060	0.3748646	0.6212939	0.8599805	0.1857163	1.0000000	0.0000000	0.7725641	1.0000000
0.5736881	0.1870294	0.3749040	0.6213007	0.8599790	0.1857163	0.9999998	0.0106230	0.0000002	1.0000000
0.5736885	0.1870299	0.3749049	0.6213010	0.8599790	0.1857163	0.9999998	0.0106874	0.0608085	0.0000000
