"Time"	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C

0	0.7787798	0.7002181	0.4781365	0.0978400	0.1077823	0.8337851	0.7139623	0.3684194	0.3575654	0.8782515
50	0.7087673	0.9099264	0.6614856	0.2394030	0.0609743	0.7638841	0.7651715	0.2877072	0.3932153	0.7774211
100	0.7481521	0.8185443	0.4751996	0.2287109	0.0528669	0.8260140	0.7550411	0.3672905	0.2957683	0.7703662
150	0.8050841	0.7072941	0.3851936	0.2396201	0.1044148	0.7246576	0.6042812	0.3624533	0.3993007	0.7742281
200	0.9390341	0.7976648	0.3612596	0.2285033	0.0889509	0.7510054	0.6482944	0.3580353	0.4063728	0.7591869
250	0.8554477	0.4483552	0.2302649	0.3036531	0.0699514	0.6551185	0.7183199	0.3423032	0.3935402	0.7374576
300	0.6186709	0.3731474	0.2477324	0.2772151	0.0503689	0.7584589	0.7755196	0.2735982	0.4919399	0.7356576
350	0.7705782	0.2821650	0.1730503	0.2228990	0.0649665	0.9800618	0.6789561	0.2556452	0.4610192	0.8159260
400	0.6020792	0.1791823	0.2712600	0.2507061	0.0388522	0.7913938	0.6602703	0.2332712	0.5241489	0.7460070
450	0.6341284	0.0754917	0.2184914	0.2332832	0.0462768	0.7465346	0.8165558	0.1526330	0.6399546	0.6966544
500	0.3825632	0.0421764	0.2286172	0.3223620	0.0575334	0.8912963	0.7173547	0.1344532	0.6792196	0.8210876
550	0.2452275	0.1007174	0.2835156	0.1163747	0.0898216	0.7447729	0.6798649	0.2241943	0.6385979	0.7475309
600	0.1679974	0.0895648	0.3804479	0.1209787	0.1384487	0.7487010	0.7391553	0.2883679	0.6480331	0.8067873
650	0.2539498	0.2429993	0.4014273	0.0842109	0.1075100	0.8590115	0.8537386	0.2903391	0.6454159	0.7360825
700	0.5498089	0.3950910	0.6782245	0.1237303	0.0849753	0.8432356	0.6705715	0.2988822	0.6114138	0.8118034
750	0.7560069	0.6122652	0.5155060	0.1081156	0.1692932	0.7077489	0.6506927	0.2847675	0.6100642	0.7517850
800	0.6545501	0.6894171	0.5516595	0.1276520	0.0767396	0.7899448	0.7399749	0.3121505	0.5076236	0.6903530
850	0.7213639	0.7114344	0.7757802	0.1199998	0.1409589	0.8584515	0.6558461	0.4114873	0.4167245	0.8299062
900	0.6580792	0.7175217	0.5911961	0.1500737	0.1079037	0.6539638	0.6582797	0.2971609	0.4300348	0.8302440
950	0.7478742	0.6489761	0.6468315	0.1031461	0.0845763	0.7380628	0.6583254	0.5245933	0.4297080	0.8848442
1000	0.7651205	0.7536962	0.7175544	0.1073674	0.0981625	0.6104945	0.6928207	0.5404946	0.3827960	0.6442821

0	0.7521123	0.6964675	0.5953897	0.0775792	0.0656900	0.7011247	0.6873223	0.5309723	0.4442165	0.7493103
50	0.6365399	0.6728956	0.4495781	0.4111159	0.1985188	0.7372002	0.7591940	0.3384687	0.4144987	0.8340685
100	0.8957518	0.6688162	0.3428413	0.5103442	0.1018204	0.8495702	0.7751738	0.2332113	0.4302316	0.8153037
150	0.7487433	0.5427971	0.1295576	0.6158340	0.1157804	0.8958006	0.6488379	0.2464995	0.3811354	0.8100259
200	0.8303938	0.3975670	0.0991326	0.5592008	0.0612241	0.6483779	0.6005293	0.0947822	0.3992168	0.7241934
250	0.8315309	0.2438893	0.0333710	0.4910018	0.0926688	0.6611020	0.5256597	0.1745538	0.4498207	0.7095635
300	0.7969608	0.1563411	0.0604654	0.6466902	0.1258692	0.8416678	0.5204966	0.1076292	0.5366984	0.7223042
350	0.6649452	0.2932544	0.0546094	0.5970471	0.0984552	0.6697908	0.3984950	0.1294902	0.6787148	0.7762067
400	0.5097477	0.2299647	0.0683502	0.6307228	0.0940085	0.7497044	0.4410514	0.1068334	0.7333239	0.7652104
450	0.6312042	0.1988320	0.0478573	0.5720331	0.0966370	0.6831253	0.4947002	0.0830077	0.6938495	0.8197529
500	0.5238776	0.2100993	0.0593875	0.4753087	0.1093593	0.6544678	0.4719062	0.0730718	0.6349151	0.7179710
550	0.6446580	0.0961495	0.0851085	0.1948105	0.1064675	0.8201200	0.5681360	0.2075065	0.6321355	0.8438775
600	0.3524821	0.0445143	0.1304338	0.1508588	0.0958366	0.7948564	0.5318032	0.2899267	0.6318860	0.6777645
650	0.2649580	0.0335435	0.2091938	0.1318581	0.1375147	0.6922574	0.6714236	0.3551508	0.7891773	0.6719223
700	0.1046869	0.0218241	0.2755207	0.1236774	0.1005282	0.7683544	0.6698395	0.2100712	0.6586779	0.8191385
750	0.0782384	0.1051595	0.4705607	0.1359819	0.1015070	0.8692430	0.6870254	0.2440393	0.6572557	0.7860691
800	0.1478218	0.2751860	0.4649164	0.1248877	0.0995869	0.8156122	0.7398541	0.2938384	0.5863361	0.8231910
850	0.4931348	0.5324178	0.7427750	0.1235420	0.0789483	0.7186110	0.6859720	0.2415679	0.6772977	0.8544840
900	0.6176014	0.6155255	0.5455248	0.0710799	0.1032444	0.6391669	0.6270558	0.3219250	0.4541513	0.6805871
950	0.8309211	0.6014641	0.5575023	0.1062789	0.0645769	0.5829187	0.5833494	0.3154325	0.4333415	0.8323928
1000	0.8672457	0.7336169	0.6885556	0.1128737	0.1061251	0.8218864	0.6258574	0.4038163	0.5076766	0.7476576

0	0.7037655	0.7634811	0.6005540	0.1020423	0.1346664	0.7645572	0.7296012	0.4829139	0.4324035	0.7850034
50	0.8232221	0.8702560	0.3807616	0.3442366	0.0649953	0.8526227	0.5952950	0.4920714	0.3866661	0.7509218
100	0.8107076	0.7173509	0.2099831	0.4722696	0.0616101	0.6866533	0.6935608	0.4930118	0.3972998	0.6544679
150	0.6843582	0.3241707	0.0843230	0.4999935	0.0385570	0.8464624	0.7574291	0.4848606	0.3266677	0.6220863
200	0.6743193	0.1573107	0.0448266	0.3914913	0.0472743	0.6555159	0.5371707	0.5625721	0.5639369	0.6289957
250	0.7153064	0.1048466	0.0418008	0.3965507	0.0248062	0.7488609	0.5536264	0.4676153	0.6062984	0.6597391
300	0.5025549	0.0805896	0.0292679	0.4391753	0.0138009	0.7752659	0.6010363	0.3873663	0.6689613	0.6972962
350	0.3643306	0.0665267	0.0347853	0.4148771	0.0400305	0.8988493	0.5678024	0.4333429	0.6761091	0.6735232
400	0.2824072	0.0751230	0.0163900	0.5733167	0.0412109	0.8697655	0.5552765	0.3153612	0.6887884	0.7322620
450	0.3020086	0.0658783	0.0186003	0.4509175	0.0443876	0.7485596	0.5495519	0.3490187	0.6342617	0.8425414
500	0.1998494	0.0307689	0.0225227	0.6394102	0.1098927	0.6489496	0.5285473	0.2494253	0.8569694	0.8520381
550	0.0956438	0.0482354	0.1023334	0.2609932	0.1497847	0.7369287	0.6875215	0.3613687	0.6481556	0.6946352
600	0.0464000	0.0450807	0.1876615	0.1100614	0.1216109	0.7389456	0.7107445	0.3621396	0.5084402	0.6697054
650	0.0398228	0.0513041	0.2703157	0.1286511	0.1120031	0.6904906	0.5905454	0.3749421	0.5841500	0.7680673
700	0.0491408	0.0832099	0.4645626	0.0977385	0.1210564	0.8023104	0.6742078	0.2847492	0.6192290	0.7077536
750	0.0701320	0.2695748	0.4777617	0.1113034	0.1267299	0.9598113	0.6821718	0.3020722	0.8039279	0.8126029
800	0.3404599	0.5368394	0.4786519	0.1527989	0.0897012	0.6395642	0.7515761	0.2932900	0.6525049	0.7408395
850	0.4863298	0.5623403	0.6454778	0.0939742	0.0729224	0.6339847	0.8142542	0.3379390	0.5155484	0.7541560
900	0.5737979	0.7181410	0.6069924	0.1142605	0.0617459	0.6347116	0.6157935	0.3580359	0.5104531	0.9196032
950	0.8202105	0.6965495	0.6279057	0.0893522	0.0729059	0.7616882	0.8427758	0.4800934	0.4898225	0.7115625
1000	0.6902009	0.7436864	0.6308361	0.0827183	0.1120024	0.7270681	0.7751125	0.3617185	0.3729146	0.7117106

0	0.6818856	0.8300019	0.5934800	0.0953564	0.1141660	0.7619392	0.6496167	0.5370581	0.4456076	0.7510883
50	0.6582665	0.7926480	0.2916457	0.1410540	0.0889280	0.8687051	0.6802034	0.5513238	0.4858007	0.8239885
100	0.7169766	0.5385411	0.0831939	0.0699328	0.1292320	0.7479853	0.7092649	0.5196988	0.4182729	0.7405736
150	0.6540462	0.2537748	0.1090232	0.0823166	0.0336358	0.7401099	0.6462127	0.4389877	0.6417868	0.7617248
