YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W
0.1189491	0.2682401	0.8291602	0.8618860	0.9088124	0.3253898	0.9324321	0.5221340	0.4046506	0.7334865
0.0027575	0.0253731	0.8290734	0.5429992	0.4440988	0.7597784	0.9621539	0.4370743	0.4390276	0.7313169
0.2146619	0.3701331	0.9761388	0.9163360	1.0002651	0.3947262	1.0923404	0.5685455	0.4443736	0.7190922
0.2549855	0.5716013	0.9668789	0.8013064	0.4975169	0.5535215	0.9880924	0.8104190	0.6089276	0.6643495
0.2370149	0.4498387	0.7774610	1.0387633	1.0273935	0.2876368	1.0167802	0.7986391	0.5176448	0.5342052
0.2333296	0.3903621	0.8311756	0.8438846	0.9312893	0.1365114	0.9511292	0.2477283	0.2038759	0.7392515
0.2313243	0.4687983	0.9435342	0.9827334	0.7654294	0.1927995	1.0524263	0.8146376	0.4473618	0.5296403
0.7862122	0.8358869	0.8019090	0.5182498	0.6190457	0.9299628	0.9323659	0.8188972	0.5726965	0.5117001
0.6115217	0.6685213	0.8926973	0.4675691	0.3290345	0.8032369	1.0137460	1.0091209	0.7558530	0.2058758
0.6353865	0.5819067	0.7570451	0.7981572	0.6820212	0.4957471	0.8599721	0.3581158	0.3355672	0.7994320
