YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W
0.2038283	0.5419605	0.8628412	0.7999820	0.8721820	0.5568288	0.9692306	0.6696851	0.4672175	0.7278402
0.2115823	0.2709817	0.8628409	0.7999811	0.8721812	0.5568293	0.9692299	0.6697003	0.4672240	0.7278314
0.4403701	0.5924441	0.4314204	0.7999811	0.8721812	0.5568293	0.9692299	0.6697003	0.4672240	0.7278314
0.4107958	0.5467641	0.8331776	0.3127614	0.7175296	0.7745158	0.8706752	0.6874934	0.4762618	0.7126119
0.4180506	0.5575714	0.8638930	0.7999794	0.4360900	0.5568312	0.9732288	0.7450158	0.5088966	0.6558428
0.4063174	0.5400477	0.8640400	0.9716393	0.9851821	0.2642667	0.9739286	0.6607615	0.4627333	0.7351830
0.4200886	0.5609570	0.5861361	0.8019540	0.8736790	0.5543267	0.4846516	0.6695649	0.4671528	0.7279430
0.4079874	0.5426071	0.8441540	0.8000057	0.8721996	0.5567965	0.9035213	0.3348460	0.4672096	0.7278324
0.3113715	0.4052845	0.8057680	0.8000864	0.8722615	0.5566973	0.7996238	0.2092928	0.2866418	0.9488037
0.3000907	0.3899268	0.7896655	0.8001299	0.8722946	0.5566420	0.7630381	0.1819970	0.2742949	0.4783283
