YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C
0.4574856	0.9256653	1.0110660	0.0651349	0.8394319	0.9561187	1.2204412	0.0148187	0.2738863	0.9949825
0.7117164	0.4606174	0.9175316	0.0765134	0.9765735	0.9948370	1.0188083	0.0125759	0.1854407	1.0822983
0.8763339	0.6210805	0.5022795	0.0553149	0.7933081	0.9541766	0.8021725	0.0216422	0.2193106	1.0382984
0.8724530	0.6485356	1.0006011	0.0202551	0.9512608	1.0067634	0.8673867	0.0146392	0.1955950	0.9484009
0.9663402	0.7623424	0.9437903	0.0737757	0.5009348	0.8303279	0.9683411	0.0203406	0.2470056	1.0218459
0.8863980	0.5646543	1.0883015	0.0563654	1.0224122	0.4411337	1.0461885	0.0237423	0.1756512	1.0311104
0.8901061	0.5642911	1.0013352	0.0614590	0.8588268	0.8498470	0.4268338	0.0118566	0.2102560	0.9776104
0.8457718	0.6975771	1.0915006	0.0770109	0.9481240	0.9748549	0.9501860	0.0174610	0.2202181	1.0092574
0.9089212	0.6352936	1.0081978	0.0607080	1.0066587	0.9588638	1.1170002	0.0159362	0.0941970	0.9542042
0.8780877	0.6548050	0.9690431	0.0880852	0.9772185	0.9575622	0.9663078	0.0184901	0.1255610	0.5688045
